作者steveisaman (who is the man)看板Stock標題[情報] 0102 上市櫃外資投信同買排行時間Tue Jan  2 23:10:38 2024

排行   股票名稱     成交    漲跌    投信買   外資買

1      2618長榮航   33.5    +2.05   11656    128978
2      1504東元     47.5    +0.7     4440    1622
3      9934成霖     16.5    +1.05    4064    758
4      2603長榮     151     +7.5     3259    938
5      2317鴻海     105     +0.5     3206    5616
6      1802台玻     19.2    +0.25    3121    361
7      1402遠東新   31.55   +0.35    1891    2154
8      1609大亞     35      +0.5     1694    3220
9      4938和碩     87.4    +0.1     1352    488
10     2206三陽工業 73.2    +1.8     1241    2239
11     6214精誠     117.5   +5.5      830    460
12     3481群創     14.4    +0.1      800    6847
13     3711日月投   133.5   -1.5      782    3626
14     2330台積電   593     0         759    7832
15     3217優群     176.5   +5        744    1106

資料來源：https://tinyurl.com/xratrhts

以上 謝謝

推 abab1234000 : 謝謝分享 01/02 23:14

推 weiike      : 精誠終於 01/02 23:21

推 chachabo    : 三陽要再起了嗎 01/02 23:38

推 CORYCHAN    : 謝謝 01/03 03:14
