作者steveisaman (who is the man)看板Stock標題[情報] 1229 上市櫃外資投信同買排行時間Sat Dec 30 00:21:02 2023

排行   股票名稱    成交    漲跌   投信買   外資買

1      4915致伸    67.7    +0.6    2020     320
2      1216統一    74.5    +0.3    1804     666
3      3005神基    111     +5      1383     237
4      2501國建    18.15   +0.45   1136     459
5      2317鴻海    104.5   +0.5    1077     9391
6      3231緯創    98.6    +2.7    1069     23233
7      2886兆豐金  39.2    0        772     809
8      3017奇鋐    336.5   +18.5    761     7046
9      2809京城銀  39.95   +0.1     707     6
10     1795美時    272     +8       506     2020
11     2634漢翔    53.6    +0.5     418     1814
12     8086宏捷科  131     +3       399     929
13     3034聯詠    517     +7       393     490
14     2458義隆    162.5   +2       388     312
15     2377微星    204     +2.5     368     775

資料來源：https://tinyurl.com/xratrhts

以上 謝謝

推 abab1234000 : 謝謝分享～ 12/30 00:26

推 empirica    : 有3檔!! 12/30 09:30

推 A1pha       : 感謝分享 12/30 12:45
