作者cfgha (特吉拉日出)看板Stock標題[心得] 2017~2022總結時間Mon Jan 16 10:45:06 2023
噓 VVVV5555    : 嗯嗯好 01/16 10:52

噓 yyc2008     : 最重要的股名沒列出來 有個X用啊 小股不列名 何用意 01/16 10:54

噓 lifephoto   : 追蹤 讚 分享 01/16 10:54

推 liangda     : 4螢幕好帥 01/16 10:55

推 goodbad     : 恭喜唷 01/16 10:58

推 ntuphys     : 恭喜新年快樂 01/16 10:59

推 yao80106    : 恭喜唷 再接再厲 01/16 11:02

噓 taupp       : 通篇沒重點 01/16 11:03

噓 nemesisX    : 好強喔 01/16 11:07

推 yuen1029    : 股板鄉民股神從不讓人失望 讚 01/16 11:09

推 chisheng74  : 推 01/16 11:12

推 icou        : 新年快樂啦 應該多分享一些操作心得 01/16 11:12

推 VVVV5555    : 4個追蹤貼出來丟臉的 01/16 11:13

→ VVVV5555    : 想洗知名度結果發這鳥文 真的高能兒 01/16 11:14

噓 Kobe5210    : 感謝分享多螢幕使用心得。 01/16 11:15

→ Kobe5210    : 是27吋的嗎 01/16 11:15

推 ipath19     : 可能在賣螢幕的 01/16 11:23

噓 knight92    : 有抗藍光嗎 01/16 11:27

推 Archer61    : 厲害 01/16 11:29

噓 alex5566    : 把股票遮起來  沒意思 01/16 11:34

噓 smchch      : 浪費版面 01/16 11:39

噓 addy7533967 : 缺流量齁 01/16 11:51

噓 a85201207   : 卷什麼卷啦 煙卷 01/16 11:54

噓 IanLi       : 徵友信小心板規 01/16 12:23

噓 lelu        : 笑死這都什麼? 01/16 12:39

推 zxcv91039   : 有人程式交易盤整期寫得出賺錢的策略嗎 01/16 12:43

噓 pigu66      : 券跟卷都不會分的是要分享什麼 01/16 13:12

噓 Sana        : 笑死！要確耶！ 01/16 13:28

→ S26         : 講點操作心得吧 01/16 13:35

→ S26         : 板面好空喔 01/16 13:35

噓 hotking     : 有重點嗎？ 01/16 13:38

噓 x5533007    : 專職賺這樣 不如去工作== 01/16 14:53

噓 Sugimoto5566: 你好棒 01/16 16:06

噓 mioandmate  : 賺這麼一點也Po 01/16 21:26

噓 sean88166   : 這叫什麼總結 01/17 23:52
