作者steveisaman (who is the man)看板Stock標題[情報] 0117 上市櫃外資投信同買排行時間Tue Jan 17 18:05:36 2023

排行   股票名稱    成交    漲跌   投信買   外資買

1      2303聯電    45.95   +1.05   2071    49192
2      8358金居    59.9    +1       501    406
3      2610華航    18.95   -0.1     454    1063
4      2748雲品    65      +1.9     334    752
5      6719力智    290.5   +7.5     319    173
6      8044網家    64.1    +0.8     264    653
7      2014中鴻    28.45   +0.5     262    3777
8      3708上緯投  101.5   +1.5     219    215
9      2049上銀    201.5   +8       218    908
10     3624光頡    44.7    +0.85    200    72
11     8454富邦媒  798     +16      197    91
12     1514亞力    32.9    +0.65    170    805
13     2376技嘉    114     +0.5     168    734
14     4746台耀    67.2    +0.7     167    305
15     2344華邦電  21      +0.2     163    2546

資料來源：https://tinyurl.com/xratrhts

以上 謝謝

→ isud40401   : 居然沒中興電！那都睡買的？ 01/17 18:16

→ h760108     : 金居到底誰在賣？ 01/17 22:27
