作者steveisaman (who is the man)看板Stock標題[情報] 0201 上市櫃外資投信同買排行時間Wed Feb  1 23:13:29 2023


排行   股票名稱    成交    漲跌   投信買   外資買

1      2303聯電    49.25   +0.45  12658    26832
2      8358金居    67.4    +1.7    2751    2419
3      4919新唐    142     +12.5   2286    1182
4      6443元晶    37.4    +0.5    1651    1812
5      2027大成鋼  44.9    +0.1    1338    2015
6      2351順德    122.5   +9      1178    260
7      3675德微    227     +20.5   1161    16
8      2002中鋼    32      +0.35    992    4776
9      4164承業醫  53.2    +4.25    892    505
10     9958世紀鋼  105     +5.9     862    48
11     5425台半    90.3    +2       811    2688
12     1305華夏    29.2    +1.05    790    1445
13     3702大聯大  48.45   +0.75    619    764
14     1589永冠-KY 68      +5       600    312
15     8069元太    179     +6.5     539    7468

資料來源：https://tinyurl.com/xratrhts

以上 謝謝

推 h760108     : 金居到底有啥利多？ 02/01 23:57

→ lmc66       : 金居又是金又是G能不漲嗎 02/02 00:09

推 weiike      : 錢線一直講 02/02 00:12

推 linx210145  : 電動車的電池 02/02 00:22

推 pett        : 金居有fu糗？ 02/02 04:10
