作者q1a1 (一問一答)看板Stock標題[情報] 0213八大公股銀行買賣超排行時間Mon Feb 13 18:19:51 2023
1. 標題：0213八大公股銀行買賣超排行

2. 來源：玩股網

3. 網址：https://www.wantgoo.com/stock/public-bank/buy-sell

4. 內文：

手機介面圖片好讀版：
https://imgur.com/02tY44C

以下資訊依張數排列
買超                            賣超
排名　    　股票          張數  排名　    　股票           張數
1 　　元大台灣５０反１　 11375　1 　　　　臺企銀　　　　  -5114
2 　　國泰永續高股息　　  9000　2 　　期街口布蘭特正２　  -4462
3 　期元大Ｓ＆Ｐ原油反１  4657　3 　　富邦臺灣加權反１　  -2462
4 　　　　　友達　　　　  3678　4 　元大滬深３００正２　  -2089
5 　　　　開發金　　　　  3608　5 　　　　　寶一　　　　  -1591
6 　　　　　群創　　　　  2861　6 　　　　　緯創　　　　  -1557
7 　　元大美債２０年　　  2600　7 　　中信中國高股息　　  -1356
8 　　中信高評級公司債　  2399　8 　　　　兆豐金　　　　  -1349
9 　元大滬深３００反１　  2292　9 　　　　長榮航　　　　  -1185
10　　元大投資級公司債　  1708　10　　　　　長榮　　　　   -999
11　　　　國泰金　　　　  1439　11　　　　　中鴻　　　　   -933
12　　　　玉山金　　　　  1360　12　　　　永豐金　　　　   -929
13　　　　　雷虎　　　　  1354　13　　　　　聯電　　　　   -898
14　　　　　廣達　　　　  1336　14　　　　　華航　　　　   -887
15　　　元大高股息　　　  1330　15　　　　　健喬　　　　   -881
16　　　　　彰銀　　　　  1101　16　　　　中信金　　　　   -853
17　　　　新光金　　　　  1081　17　　　　合勤控　　　　   -850
18　　　　富邦越南　　　  1072　18　　　　潤泰新　　　　   -732
19　　　　　陽明　　　　  1035　19　　　　　宏碁　　　　   -723
20　　　　　漢翔　　　　  1003　20　　　富邦上証正２　　   -703
21　　　　富邦金　　　　   950　21　　元大美債２０正２　   -703
22　　　　晟銘電　　　　   930　22　　　　三陽工業　　　   -630
23　元大ＡＡＡ至Ａ公司債   925　23　　　　中興電　　　　   -619
24　　　　　中化　　　　   918　24　　　　　大亞　　　　   -616
25　　　　誠美材　　　　   893　25　　期元大Ｓ＆Ｐ石油　   -597
26　　　　　磐儀　　　　   875　26　　　　連展投控　　　   -573
27　　　　力積電　　　　   866　27　　　　亞太電　　　　   -568
28　富邦ＮＡＳＤＡＱ反１   699　28　　　　　威健　　　　   -527
29　　　　　裕隆　　　　   684　29　　　　　泰詠　　　　   -478
30　　　　　榮剛　　　　   673　30　　　　　良維　　　　   -448
31　　　　　彩晶　　　　   640　31　國泰２０年美債正２　   -416
32　　　　王道銀行　　　   638　32　　　　　士電　　　　   -408
33　　　泰福－ＫＹ　　　   634　33　　　　統一實　　　　   -395
34　　　　台積電　　　　   574　34　　　　　虹堡　　　　   -389
35　　　　台中銀　　　　   548　35　　　　台新金　　　　   -383
36　　中信優先金融債　　   547　36　　　　　凌群　　　　   -374
37　　　　　安勤　　　　   515　37　　　　　高力　　　　   -373
38　　　　華邦電　　　　   503　38　　　　　廣積　　　　   -366
39　　　　合庫金　　　　   501　39　　　　　輔信　　　　   -350
40　　　　　正新　　　　   494　40　　　　　奇鋐　　　　   -338
41　　　　　康舒　　　　   466　41　　　　　元太　　　　   -337
42　　　　　華通　　　　   465　42　　　　英業達　　　　   -328
43　　　　　微星　　　　   464　43　　　　　東陽　　　　   -327
44　　　　　華孚　　　　   462　44　　　　　胡連　　　　   -319
45　　　　中華電　　　　   441　45　　　　　萬海　　　　   -316
46　　　　　聚和　　　　   426　46　　　　　普安　　　　   -304
47　　　　 愛普*　　　　   404　47　　　　　統一　　　　   -301
48　　ＦＨ富時不動產　　   400　48　　　　　台揚　　　　   -298
49　　富邦恒生國企正２　   399　49　　　　　廣明　　　　   -290
50　　　　　可成　　　　   385　50　　　 太景*－ＫＹ　　   -284

噓 fakelie     : 長老追高https://i.imgur.com/afPNF5k.gif 02/13 18:20

→ a79111010   : 每日造反 02/13 18:20

推 sosiealex   : 長老存股反1 02/13 18:21

→ islandant   : 長老買陽明耶 02/13 18:22

→ AndyMAX     : 長老買紅 叛徒 02/13 18:26

推 hate56      : 長老補刀長榮喔 真狠心 02/13 18:27

推 edward198791: 元大ＡＡＡ至Ａ公司債  <<< 暗示? 02/13 18:35

推 pziix       : 買反1幹嘛 02/13 18:40

推 kimula01    : 又收這麼多反1？ 02/13 18:41

推 Subzero0000 : 買反ㄧ 買台積 02/13 18:43

推 fly5566     : 買台積就避險用的阿 02/13 19:09

推 flyingdeeck : 是接多少現貨。。。買這麼多 02/13 19:16

推 NEX4036     : 長老每天都有一堆妖股 -.- 02/13 20:11

推 a052612565  : 長老避險買了不少 02/13 20:16
