作者q1a1 (一問一答)看板Stock標題[情報] 0214八大公股銀行買賣超排行時間Tue Feb 14 18:47:33 2023
1. 標題：八大公股銀行買賣超排行

2. 來源：玩股網

3. 網址：https://www.wantgoo.com/stock/public-bank/buy-sell

4. 內文：

手機介面圖片好讀版：
https://imgur.com/JyowMYT

以下資訊依張數排列
買超                            賣超
排名　    　股票          張數  排名　    　股票           張數
1 　　元大台灣５０反１　 27809　1 　　　　長榮航　　　　  -9488
2 　期元大Ｓ＆Ｐ原油反１  7355　2 　　　　　華航　　　　  -6669
3 　　　　大成鋼　　　　  1861　3 　　　　　長榮　　　　  -6015
4 　　　　　華新　　　　  1659　4 　　　　　群創　　　　  -3520
5 　　元大美債２０正２　  1658　5 　　　　　友達　　　　  -2811
6 　元大滬深３００正２　  1361　6 　　　　　聯電　　　　  -2804
7 　　　　　寶一　　　　  1353　7 　　國泰永續高股息　　  -2762
8 　　　　富邦越南　　　  1336　8 　　期街口布蘭特正２　  -2394
9 　　元大美債２０年　　  1302　9 　　　元大台灣５０　　  -2196
10　　　　玉山金　　　　  1247　10　　　　台積電　　　　  -1943
11　　元大投資級公司債　  1166　11　　　　　鴻海　　　　  -1462
12　　　　　中鋼　　　　  1130　12　　　　國泰金　　　　  -1363
13　　國泰美國道瓊反１　   988　13　　　　兆豐金　　　　  -1327
14　　國泰臺灣加權反１　   924　14　富邦ＮＡＳＤＡＱ反１  -1216
15　　　　　金居　　　　   828　15　　　　　欣銓　　　　  -1194
16　　　　誠美材　　　　   811　16　　　元大高股息　　　  -1190
17　　　　　漢翔　　　　   804　17　　　　　中工　　　　  -1164
18　　中信中國５０正２　   802　18　　期元大Ｓ＆Ｐ石油　  -1149
19　　富邦恒生國企正２　   768　19　　中信中國高股息　　  -1071
20　　中信高評級公司債　   758　20　　　　中信金　　　　   -990
21　　　　　力鵬　　　　   723　21　富邦特選高股息３０　   -951
22　　　　　健喬　　　　   673　22　　　　　台泥　　　　   -898
23　　　　　彰銀　　　　   672　23　　　　　陽明　　　　   -821
24　　　　　凌群　　　　   642　24　　　　華南金　　　　   -764
25　　　　　裕隆　　　　   617　25　　　　　聯詠　　　　   -744
26　　　　台中銀　　　　   614　26　　　　　寶成　　　　   -726
27　　　　　元太　　　　   591　27　　　　　旺宏　　　　   -719
28　　　　　磐儀　　　　   578　28　　　　遠東新　　　　   -704
29　　　　　仁寶　　　　   561　29　　　　　台塑　　　　   -685
30　　　　　微星　　　　   536　30　　　　　元晶　　　　   -672
31　　　　　亞泥　　　　   535　31　　國泰智能電動車　　   -654
32　　　　　盛達　　　　   521　32　　　　光寶科　　　　   -633
33　　　　中興電　　　　   520　33　　　　力積電　　　　   -628
34　　　　台灣高鐵　　　   519　34　　　　新光金　　　　   -603
35　　　　宏達電　　　　   487　35　　　　亞太電　　　　   -596
36　　　　　凌巨　　　　   484　36　　國泰中國Ａ５０　　   -577
37　　　　　友勁　　　　   465　37　　　　中石化　　　　   -550
38　　國泰Ａ級金融債　　   434　38　　　　　彩晶　　　　   -541
39　　　　　雲品　　　　   426　39　　　　華邦電　　　　   -530
40　　　　　國產　　　　   423　40　　國泰台灣５Ｇ＋　　   -530
41　　　　　台船　　　　   407　41　　　　　華通　　　　   -524
42　　　　　威盛　　　　   405　42　　　　　緯創　　　　   -518
43　　　　　立端　　　　   390　43　　　　　橘子　　　　   -509
44　　　　　高力　　　　   382　44　　　　國票金　　　　   -467
45　　　　永豐金　　　　   369　45　　　　　友訊　　　　   -447
46　　　　　中化　　　　   369　46　　　　　南緯　　　　   -443
47　　　　　美時　　　　   360　47　　　　　啟碁　　　　   -435
48　　　世芯－ＫＹ　　　   359　48　富邦ＮＡＳＤＡＱ正２   -427
49　　　富邦上証正２　　   356　49　　　　　華城　　　　   -426
50　　　　開發金　　　　   353　50　　　　　天鈺　　　　   -400

推 fakelie     : https://i.imgur.com/afPNF5k.gif 02/14 18:48

→ zzj11       : 連長老都不要橘子了..... 02/14 18:50

推 ljh109      : 長老很怕變盤484 02/14 18:54

推 jerrylin    : 買這麼多反一又買公債 02/14 18:57

推 hate56      : 橘子我呸 02/14 18:59

→ a79111010   : 橘子壞了 02/14 19:00

推 Makubex82   : 長老是全壓CPI高於預期嗎 02/14 19:02

推 s56565566123: 買綠賣紅讚 02/14 19:05

噓 loveadu     : 偷看答案... 02/14 19:11

推 AndyMAX     : 99大成鋼 02/14 19:17

噓 avmm9898    : 長老又偷看答案了 02/14 20:06

噓 smartpoky   : 垃圾長老大散戶看空膩 02/14 21:02
