作者steveisaman (who is the man)看板Stock標題[情報] 0313 上市櫃外資投信同買排行時間Mon Mar 13 20:57:47 2023

排行   股票名稱    成交    漲跌   投信買   外資買

1      2002中鋼    31      +0.4    5205    2643
2      2356英業達  27.35   +0.3    3450    2202
3      2353宏碁    25.7    -0.1    2274    1113
4      3264欣銓    57.4    +0.9    1506    1696
5      3231緯創    33.65   +0.05   1230    4647
6      3711日月光  108.5   +1.5    1100    1457
7      1303南亞    74.7    +0.7    1094    598
8      1605華新    52.3    +0.8    1064    1441
9      3037欣興    133.5   +2       974    4009
10     1102亞泥    42.85   0        959    17
11     2377微星    138     +1       744    1204
12     4164承業醫  67.1    +0.7     600    221
13     2303聯電    52.5    +0.5     592    23809
14     4938和碩    69.4    +0.4     572    1173
15     1762中化生  71.4    +5.6     456    591

資料來源：https://tinyurl.com/xratrhts

以上 謝謝

推 bonbonme    : 欣興知我心 03/13 21:06

推 weiike      : abf有種要重返榮耀的感覺 03/13 21:07

→ Dia149      : 神教又回來了 03/13 21:30

推 benson502   : 猩猩點燈，什麼顏色的燈不好說 03/13 21:47
