作者steveisaman (who is the man)看板Stock標題[情報] 0601 上市櫃外資投信同買排行時間Thu Jun  1 21:36:04 2023

排行   股票名稱    成交    漲跌    投信買   外資買

1      3231緯創    69.4    +2.7     18801   1106
2      2618長榮航  36      +2.05     7828   31288
3      2376技嘉    190.5   +4         884   1935
4      3044健鼎    129     +0.5       781   770
5      2610華航    23.15   +0.95      628   25534
6      6176瑞儀    120     +2         564   647
7      8150南茂    40      +0.5       449   60
8      3017奇鋐    207     +9.5       393   137
9      2337旺宏    33.65   +0.35      374   1689
10     3003健和興  80.7    +1.2       328   688
11     6239力成    99.9    0          309   195
12     5388中磊    95.7    +0.2       304   728
13     2489瑞軒    13.9    +0.65      297   1392
14     3624光頡    66.6    +1         236   221
15     1560中砂    116.5   +3         222   297

資料來源：https://tinyurl.com/xratrhts

以上 謝謝

推 devidevi    : 緯創外資從賣轉買... 06/01 21:39

→ devidevi    : 投信快沒錢了??剩緯創跟技嘉千張以上 06/01 21:39

→ guilty13    : 2489有鬼 06/01 22:30

推 devidevi    : 2489敢追的我覺得能追，今天太晚追，已經爬上去了 06/01 22:50

→ simo520     : 3003回來了 06/01 22:52
