作者steveisaman (who is the man)看板Stock標題[情報] 0717 上市櫃外資投信同買排行時間Mon Jul 17 20:01:29 2023

排行   股票名稱    成交    漲跌   投信買   外資買

1      6285啟碁    118     +1      1570     652
2      1513中興電  141     +3.5    1523     2875
3      2891中信金  26.15   +0.75   1358     282
4      8050廣積    102.5   -1       997     215
5      6182合晶    48.9    +0.45    843     76
6      6147頎邦    66.5    +1.2     785     653
7      1519華城    217.5   +17.5    695     4793
8      3483力致    120     +10.5    567     505
9      2347聯強    58.9    +0.5     534     756
10     2449京元電  65.8    +5.7     443     6357
11     2377微星    188     +3       438     385
12     2337旺宏    32.5    +0.35    370     220
13     4915致伸    64.1    +0.5     329     565
14     1101台泥    36.75   -0.25    292     85
15     3587閎康    247     +6       279     270

資料來源：https://tinyurl.com/xratrhts

以上 謝謝

推 TroyeSivan  : 中信金明天漲停 07/17 20:05

→ pippen2002  : 印象中沒看過中信金漲停? 07/20 10:12
