作者steveisaman (who is the man)看板Stock標題[情報] 0908 上市櫃外資投信同買排行時間Fri Sep  8 21:52:50 2023

排行   股票名稱    成交    漲跌   投信買   外資買

1      2337旺宏    34.55   +0.2    1570    2457
2      2886兆豐金  36.1    +0.25   1388    475
3      3264欣銓    65.8    +0.8    1342    396
4      2615萬海    46.3    +0.65   1213    845
5      4915致伸    68.3    0       1121    153
6      3044健鼎    198     -1.5    1110    542
7      6176瑞儀    126     -1      1052    212
8      8299群聯    446.5   +8       995    519
9      8016矽創    277.5   +6       987    276
10     4938和碩    78.1    +0.4     911    559
11     6285啟碁    143     +1       826    544
12     6414樺漢    275     +3       759    167
13     2324仁寶    31.75   +0.35    737    1904
14     2385群光    109     +0.5     735    375
15     5371中光電  83.6    +0.9     710    211

資料來源：https://tinyurl.com/xratrhts

以上 謝謝

推 aussieoz    : 讚 09/09 00:11

推 p80511427   : 旺宏可以解套了嗎 09/09 00:19
