作者steveisaman (who is the man)看板Stock標題[情報] 0927 上市櫃外資投信同買排行時間Wed Sep 27 20:35:22 2023

排行   股票名稱     成交    漲跌   投信買   外資買

1      2324仁寶     31      +0.3    1433    1584
2      3231緯創     103     +1.5    1138    6910
3      2353宏碁     36.85   +0.4     918    969
4      2449京元電子 77.6    +0.5     903    3282
5      2382廣達     230     +8.5     869    4889
6      2376技嘉     284.5   +9       831    2536
7      2609陽明     45.9    -0.05    747    911
8      3702大聯大   60      0        746    1514
9      2885元大金   25.15   +0.15    620    7128
10     2352佳世達   44.85   +1       616    2464
11     2421建準     115     +4       592    458
12     2204中華     98.7    +2.9     576    674
13     8112至上     55      +0.4     522    732
14     2347聯強     63.2    -0.3     492    164
15     4938和碩     76.3    +0.3     364    83

資料來源：https://tinyurl.com/xratrhts

以上 謝謝

推 smile75896  : 陽明複制貼上而已 09/27 20:41

推 maye        : 感動！技嘉終於大家一起買上去了！都快懷疑我買的 09/27 21:37

→ maye        : 價位是不是有毒了，每次快到就往下跌，等了好久終 09/27 21:37

→ maye        : 於爬回來了！ 09/27 21:37
