作者steveisaman (who is the man)看板Stock標題[情報] 1019 上市櫃外資投信同買排行時間Thu Oct 19 22:05:00 2023

排行   股票名稱     成交    漲跌   投信買   外資買

1      2303聯電     49.3    +0.85   9480     25241
2      2352佳世達   43.4    +1.85   3274     3003
3      2449京元電子 84.9    +3.4    2827     2024
4      3260威剛     104     +2.5    1593     3246
5      9904寶成     29.35   +0.1    1371     753
6      2454聯發科   830     +17     1085     1298
7      8112至上     54.6    +1.8     979     349
8      2337旺宏     32.8    +0.6     761     1354
9      3702大聯大   67.5    +0.5     709     1350
10     8299群聯     490     +20      507     1436
11     4919新唐     132.5   +2.5     421     320
12     2605新興     24.45   +1.7     405     4288
13     4763材料-KY  1235    +65      402     189
14     3014聯陽     163.5   +2.5     313     81
15     2609陽明     42.7    +0.4     292     2731

資料來源：https://tinyurl.com/xratrhts

以上 謝謝

推 simo520     : 4919要出頭天了 10/19 22:55

推 b2060027830 : 聯電60 10/19 23:27

推 TeddyisaBear: 新唐裸照 重返農藥 10/20 02:38
