作者steveisaman (who is the man)看板Stock標題[情報] 1024 上市櫃外資投信同買排行時間Tue Oct 24 22:29:16 2023

排行   股票名稱     成交    漲跌   投信買   外資買

1      3231緯創     96.2    +3.7    1437    5111
2      2301光寶科   109     +3       995    4301
3      2324仁寶     29.45   +1       922    3644
4      2353宏碁     35.65   +0.85    907    1504
5      2449京元電子 83.1    +0.4     883    22
6      2458義隆     144     +2       723    2140
7      2356英業達   44.6    +1.15    654    594
8      2347聯強     66.9    +0.7     544    316
9      1402遠東新   29.05   +0.4     540    303
10     2313華通     52.9    +0.2     536    373
11     3702大聯大   67.7    +1.4     524    1600
12     6589台康生技 103     +2.5     509    384
13     2886兆豐金   37.25   +0.15    467    475
14     2845遠東銀   11.6    +0.1     428    239
15     2603長榮     105     +1.5     392    1969

資料來源：https://tinyurl.com/xratrhts

以上 謝謝

→ Ligamenta   : 外資投信聯手把台股買上來 10/24 22:33

推 YU1225      : 長榮投信買勤 10/24 22:34

推 Sweet83921  : 3231 10/24 22:36

推 carking49   : 2次割韭菜時間到了，加油 10/25 06:47
