作者steveisaman (who is the man)看板Stock標題[情報] 1109 上市櫃外資投信同買排行時間Thu Nov  9 23:05:59 2023

排行   股票名稱    成交    漲跌   投信買   外資買

1      6805富世達  330     +130    1460     119
2      8086宏捷科  129.5   +6.5     857     1067
3      2845遠東銀  11.8    +0.05    755     87
4      2353宏碁    35      -0.2     739     863
5      2885元大金  25      0        738     1014
6      2890永豐金  18.45   +0.05    730     1716
7      4904遠傳    78.7    +0.4     691     701
8      3217優群    153     0        660     141
9      2385群光    146     +4       654     165
10     3045台灣大  98.4    +0.1     571     26
11     2882國泰金  45.15   +0.1     538     216
12     1402遠東新  30.25   +0.1     522     1504
13     2892第一金  26.8    -0.05    497     2032
14     2347聯強    68.6    -0.2     462     1099
15     2891中信金  25.35   +0.25    460     11918

資料來源：https://tinyurl.com/xratrhts

以上 謝謝

推 KSUGOD      : 宏碁看起來很會噴 11/09 23:07

→ blue1204    : 6805沒抽到QAQ 11/09 23:11

推 ben80123    : 宏碁線型那麼爛怎麼噴 11/09 23:12

推 devidevi    : 買了之後就會噴阿 11/10 00:20

推 kumafez     : 宏捷科好猛 11/10 00:33

推 maye        : 最近怎那麼愛買銀行股 11/10 08:47
