作者steveisaman (who is the man)看板Stock標題[情報] 1110 上市櫃外資投信同買排行時間Fri Nov 10 21:47:17 2023

排行   股票名稱    成交    漲跌   投信買   外資買

1      2313華通    57.2    +2.4    3038    14773
2      3044健鼎    196     +9.5    1436    3399
3      1515力山    45.9    +3.25   1200    1205
4      2885元大金  25      0        770    439
5      2890永豐金  18.45   0        707    3138
6      6213聯茂    87.2    +3.7     686    1214
7      2892第一金  26.85   +0.05    627    2084
8      2882國泰金  44.95   -0.2     613    44
9      2891中信金  25.5    +0.15    543    8808
10     1402遠東新  30.25   0        516    1551
11     2385群光    146     0        372    720
12     2347聯強    68.9    +0.3     364    622
13     3702大聯大  72.2    -1.3     351    1543
14     2886兆豐金  38.4    -0.2     348    1412
15     1303南亞    64.9    -0.4     305    555

資料來源：https://tinyurl.com/xratrhts

以上 謝謝

推 weiike      : 不要台燿了？ 11/10 21:52

推 maye        : 還是在買銀行股，怎麼沒什麼漲呢？ 11/10 22:17
