作者steveisaman (who is the man)看板Stock標題[情報] 1201 上市櫃外資投信同買排行時間Fri Dec  1 21:50:25 2023

排行   股票名稱     成交    漲跌   投信買   外資買

1      2609陽明     43.3    +1.3    3518    17515
2      2606裕民     51.8    +3.45   2498    14885
3      3045台灣大   99.2    +0.8    2400    408
4      2329華泰     64      +4.7    2019    6992
5      3264欣銓     74.4    +4      1689    3523
6      2615萬海     48.65   +1.95   1296    4040
7      5009榮剛     49.35   +0.65   1003    255
8      1795美時     267.5   +9       720    195
9      2385群光     161.5   +2       605    339
10     2338光罩     76.2    -0.7     572    76
11     8046南電     249.5   +1.5     553    507
12     3715定穎投控 109     +7       528    4625
13     1319東陽     76.9    +2.5     500    1574
14     2603長榮     114.5   +2.5     485    7739
15     2439美律     117.5   +3.5     458    19

資料來源：https://tinyurl.com/xratrhts

以上 謝謝

推 YU1225      : 上船囉！嘻嘻 12/01 21:51

推 corner3500  : 5009一直買 12/01 21:52

推 weiike      : 華泰太猛了 12/01 21:53

推 demon2010   : 一堆船欸 12/01 22:11

推 KSUGOD      : 華泰太猛拉 12/01 22:41

推 joewucool   : 5009隔幾天倒垃圾 12/02 08:07
