作者steveisaman (who is the man)看板Stock標題[情報] 1205 上市櫃外資投信同買排行時間Tue Dec  5 21:19:35 2023

排行   股票名稱    成交    漲跌   投信買   外資買

1      2605新興    28.8    +2.6    2728     8278
2      2609陽明    44.85   -0.3    2722     2822
3      3045台灣大  100.5   +0.7    2380     782
4      1101台泥    34.9    +0.85   2035     1894
5      2890永豐金  19.15   +0.05   1625     1470
6      1319東陽    82.4    +4.9    1508     1523
7      3264欣銓    76.4    -1.1    1491     832
8      4904遠傳    83.3    +1.5    1140     3610
9      3711日月投  129.5   -0.5     983     89
10     9958世紀鋼  179     +8       955     1003
11     2204中華    106     +1.5     800     700
12     2105正新    44.25   -0.45    700     1308
13     6239力成    117     +1.5     700     771
14     4746台耀    107     +1       678     146
15     3044健鼎    199     +1.5     669     255

資料來源：https://tinyurl.com/xratrhts

以上 謝謝

推 KSUGOD      : 誰被這些股票甩轎了 12/05 21:54

→ ikariamman  : 大哥大 12/05 21:56

推 weiike      : 中華可以噴過前高了嗎 12/05 22:03
