作者q1a1 (一問一答)看板Stock標題[情報] 2023/02/03八大公股銀行買賣超排行時間Fri Feb  3 21:21:25 2023
1. 標題：2023/02/03八大公股銀行買賣超排行

2. 來源：玩股網

3. 網址：https://www.wantgoo.com/stock/public-bank/buy-sell

4. 內文：

手機介面圖片好讀版：
https://imgur.com/pGkDK2H

以下資訊依張數排列
買超                            賣超
排名　    股票           張數   排名　    股票           張數
1 　　元大台灣５０反１　 17003　1 　　　　　聯電　　　　 -4515
2 　元大滬深３００正２　  7262　2 　期元大Ｓ＆Ｐ原油反１ -4122
3 　　國泰永續高股息　　  6281　3 　　　　　台泥　　　　 -4110
4 　　期街口布蘭特正２　  4403　4 　　　　台積電　　　　 -3746
5 　　　　新光金　　　　  4018　5 　　　日月光投控　　　 -2690
6 　　中信中國高股息　　  2959　6 　　國泰智能電動車　　 -2516
7 　　　　　鴻海　　　　  2798　7 　　國泰費城半導體　　 -1899
8 　　富邦恒生國企正２　  2695　8 　　　　　華新　　　　 -1768
9 　　　　　群創　　　　  2486　9 　　　　　元太　　　　 -1252
10　　　　開發金　　　　  2359　10　　　　　創惟　　　　 -1081
11　　　　國泰金　　　　  1911　11　　　元大台灣５０　　 -1042
12　　　　力積電　　　　  1888　12　　　　長榮航　　　　 -1020
13　　　　　裕隆　　　　  1869　13　　　富邦元宇宙　　　  -965
14　　　　　中鋼　　　　  1510　14　　國泰台灣５Ｇ＋　　  -918
15　　　　中信金　　　　  1475　15　　　　聯發科　　　　  -889
16　　　　　統一　　　　  1466　16　　　　　康舒　　　　  -882
17　　元大美債２０年　　  1392　17　　　　光洋科　　　　  -862
18　元大滬深３００反１　  1340　18　富邦ＮＡＳＤＡＱ正２  -803
19　　　　亞太電　　　　  1280　19　富邦特選高股息３０　  -790
20　　　富邦印度正２　　  1203　20　　ＦＨ富時不動產　　  -775
21　　中信中國５０正２　  1165　21　　　　　富采　　　　  -701
22　　元大美債２０正２　  1137　22　　　　　中工　　　　  -688
23　　期元大Ｓ＆Ｐ石油　  1100　23　　　　　金寶　　　　  -681
24　　　　宏達電　　　　  1097　24　　　　　鴻準　　　　  -680
25　　　　　榮剛　　　　  1050　25　　　　群益證　　　　  -648
26　　　　三商壽　　　　   943　26　　　　　南茂　　　　  -637
27　　　　　健喬　　　　   934　27　　　　　頎邦　　　　  -615
28　　　　大成鋼　　　　   924　28　　　　　緯創　　　　  -588
29　　　　　華航　　　　   898　29　　　　　聯詠　　　　  -569
30　　　　中興電　　　　   872　30　　　　王道銀行　　　  -564
31　富邦ＮＡＳＤＡＱ反１   859　31　　　　　台船　　　　  -550
32　　　　台勝科　　　　   835　32　　　　遠東銀　　　　  -534
33　　　　　友達　　　　   775　33　　　　　新唐　　　　  -531
34　　　　中華電　　　　   772　34　　國泰基因免疫革命　  -531
35　　　泰金寶－ＤＲ　　   767　35　　　　　力成　　　　  -529
36　　　　台中銀　　　　   739　36　　　　　燁輝　　　　  -527
37　　　　　國喬　　　　   739　37　　　　興富發　　　　  -504
38　　　　　陽明　　　　   681　38　　　　　環科　　　　  -484
39　　　　松瑞藥　　　　   671　39　　　　明基材　　　　  -477
40　　　　　鈺創　　　　   648　40　　　　元大金　　　　  -470
41　大華優利高填息３０　   645　41　　　　上海商銀　　　  -464
42　　　　臺企銀　　　　   643　42　　　　　茂迪　　　　  -447
43　　　　　詮欣　　　　   619　43　　　　　精剛　　　　  -440
44　　　　　位速　　　　   604　44　　　　　大同　　　　  -434
45　　　　　建達　　　　   593　45　　　　　神達　　　　  -424
46　　　　　威盛　　　　   592　46　　　　　中纖　　　　  -420
47　　　　華邦電　　　　   592　47　　統一ＦＡＮＧ＋　　  -419
48　　　　　大亞　　　　   587　48　　　　富邦越南　　　  -416
49　　　　　長榮　　　　   568　49　　　　　金居　　　　  -395
50　　　　　晶宏　　　　   563　50　　兆豐龍頭等權重　　  -394
推 Argos       : 長老大買反一 蒸丸 02/03 21:24

推 lolpklol0975: 台積電 -3750張 02/03 21:26

推 doasgloria  : 八大記者有傳人了!! 02/03 21:27

→ omanorboyo  : 倒給小兒 02/03 21:28

推 addy7533967 : 好耶！辛苦了，開始上班後真的沒心力貼XD 02/03 21:33

推 la8day      : 長老也不認同這價位 高歌離席 02/03 21:36

推 kmshy       : 就你在搞事！ 02/03 21:37

推 herrowui    : 官股低買高賣，賺翻 02/03 21:49

噓 Noobungas   : 買台勝科，要飆了嗎 02/03 22:00

噓 Sugimoto5566: 還有人在看這指標 02/03 23:49

推 KKSlider    : 謝謝分享 02/04 02:01

→ teve429     : 長老不要康叔了… 02/04 11:06
