作者pikachu0502 (皮卡丘)看板Stock標題[新聞] 11月製造業景氣燈號亮藍燈 時間Fri Dec 30 17:13:22 2022

推 dryadl35052 : 哥燈 12/30 17:17

推 zxcv91039   : 藍燈抄底怎麼輸？ 12/30 17:17

推 hong92      : 藍燈還不歐印？ 12/30 17:19

推 AGODC       : 12月應該更慘，12月跟中南部開工廠的親戚吃飯，他說 12/30 17:19

→ AGODC       : 訂單掉到大概4成而已 12/30 17:19

→ aisitelu    : 早知道的事情 這幾天已反映了 準備反轉走大多頭 12/30 17:20

推 kevin31a2   : 10年線all in 12/30 17:21

噓 fakelie     : 窩大6j哥天下5D 12/30 17:23

推 poeoe       : 讚喔 12/30 17:23

推 pisu        : 持續藍燈一堆廠商會倒閉 12/30 17:24

噓 DrGun       : 鴿 不買 個股 12/30 17:25

噓 cyr1216     : 利空新聞一堆，結果還撐在萬4 12/30 17:31

推 Messi100    : 鴿到底買了沒 12/30 17:31

推 lordwill    : 房貸族撐住啊 12/30 17:37

推 iamrw       : 製造業餐飲業價格越開越高，獲利越來越少，跑車越 12/30 17:38

→ iamrw       : 換越多 12/30 17:38

→ iamrw       : 嘻嘻 12/30 17:38

→ stocktonty  : 鴿燈投資術 何時出版 12/30 17:41

推 prog        : 雙藍燈 崩崩 12/30 17:43

推 GuGuCi      : 藍藍路 12/30 17:49

→ fmp1234     : 鴿 12/30 17:53

噓 stationary  : 已反應，準備V型反轉明年上萬八還不快all in? 12/30 18:36

推 pilimew     : 失業可以去賣房子發大財 12/30 19:19

推 alfi2016    : 藍登耀 來囉！ 12/30 19:37

推 GymRat      : 中鋼J 12/30 20:28

→ GymRat      : 出來打球 12/30 20:28

推 kkchen      : 就基本面良好啊... 12/30 21:12

推 ricky77525  : 戈登 12/30 21:15

推 rabbit99531 : 差不多谷底了，半導體Q1開始客戶拉貨 12/31 05:17
