作者Alison5566 (艾利森)看板Stock標題[新聞] 9月出口終翻正 台積電法說穩了 謝金河示-時間Thu Oct 12 11:55:08 2023
1.發文前請先詳閱[新聞]分類發文規範，未依規範發文將受處份。
2.連結過長請善用 https://bit.ly/ 等縮網址服務，連結不能點擊者板規1-2-2處份。
3.心得/評論請盡量充實，心得過短或濫竽充數將以板規 1-2-3、4-4 水桶處份。
4.發文請依照格式文章標明段落，不符合格式者依4-1刪文處分。
噓 duncan0319  : 勞謝可以說別支穩嗎 10/12 11:56

推 topfree     : 石化紡織機械金屬要噴了（筆記 10/12 11:56

推 changmary   : 暝燈開示 10/12 11:57

→ qa1122z     : 找謝老師 10/12 11:57

噓 a760714a    : 老洩反指標 10/12 11:58

推 poeoe       : 穩啦 太讚 10/12 11:58

推 northsoft   : 空軍嘎到脫皮 10/12 11:59

推 thbygn98    : 完了 10/12 12:00

→ bbcer       : 丸子 10/12 12:03

推 sai82320    : 老謝樂觀時再賣就好 10/12 12:03

推 sunday0913  : 跪求石化紡織機械金屬好標的 10/12 12:04

→ tctv2002    : 傳統產業一堆無薪假 科技業也有一些無薪假 看不出 10/12 12:05

→ tctv2002    : 景氣哪裡好... 10/12 12:05

推 JuiFu617    : 10月穩了 10/12 12:06

→ piece1      : 明天再空手好了..... 10/12 12:06

推 CCH2022     : 嗯...九月十月不就是iPhone新機大量出貨的時候嗎？ 10/12 12:07

→ CCH2022     : 這個不就是鴻海的功勞嗎？哈哈哈。 10/12 12:07

推 allfate     : 該all in遠東新了吧 10/12 12:09

推 vincent0911x: 真的丸子 謝囉空軍穩了 10/12 12:10

推 poqaz       : 穏，，，，，，死的 10/12 12:10

推 CCH2022     : https://www.google.com/amp/s/www.storm.mg/ampar 10/12 12:10

→ CCH2022     : ticle/4527525 10/12 12:10

推 a03520      : 歐印紡織 10/12 12:11

推 tomdavis    : 老謝點點名 老謝筆記本!!!!! 10/12 12:12

推 Iperfection : 喜歡看很多數字和財經舊聞的人可以多關注謝金河 10/12 12:13

→ icedog122   : 我要來歐印 10/12 12:14

→ etop        : 噴出 10/12 12:15

推 nzxc        : 這咖低能兒真的是反指標 10/12 12:16

→ CCH2022     : 更正失效網址。https://i.imgur.com/Kskg2kO.jpg 10/12 12:16

→ yinaser     : 下禮拜就吹多，他一直是看股價轉風向 10/12 12:16

→ CCH2022     : https://i.imgur.com/Dxvmzb0.jpg 10/12 12:16

推 wemee       :   穩了 ok 明天台積電漲停 10/12 12:17

推 s203abc     : 好欸 10/12 12:17

推 haha7456    : 4條明路 10/12 12:17

推 westmoney   : 吻了！真的吻了~ 10/12 12:18

推 s910612     : 完蛋 10/12 12:19

噓 k798976869  : 要洩惹 10/12 12:21

→ kamitengo   : 丸子，已經立刻出清所有gg 10/12 12:22

→ pqpqpqpq    : 要貼幾次？ 10/12 12:24

推 boykid      : 意思就是要跌了 10/12 12:24

推 leon1757tw  : 紡織有推薦的嗎？ 10/12 12:25

→ gogoapolo   : 丸子 10/12 12:26

推 yan1979     : 謝金河開口感覺都沒好事 10/12 12:26

推 s655131     : 明天要搞事了 10/12 12:29

噓 leiouter    : 就是現在，今年糕點 10/12 12:29

推 mind324     : 零組件又不一定是GG 磊晶也成長 10/12 12:30

推 opwin       : 後照鏡大師 10/12 12:32

→ herculus6502: 欸 先不要 10/12 12:33

推 kenkuo1688  : 崩到暈 一個月翻正高潮嗎 10/12 12:34

推 wei9898     : 穩了 10/12 12:35

推 billy56     : 老謝看衰 空軍的利空 10/12 12:36

推 tzj09       : 穩了 10/12 12:38

推 haunt11     : 笑死空台積哈哈哈 10/12 12:39

推 mind324     : 陸行之都寫了 還在吹晶圓代工 D能AI都衰退 10/12 12:41

推 Gipmydanger : 穩 10/12 12:44

推 uller       : 穩了 爽 10/12 12:45

推 ethan0419   : 來了來了 10/12 12:46

推 lakershank  : 10/10 老謝發空軍文 11 12連兩天漲，真的有夠糗 10/12 12:47

→ idernest    : 賣G求鋼了 10/12 12:48

推 sw9294      : 空軍炸裂 10/12 12:50

推 hn022       : 跟著反指標做真好賺 10/12 12:53

→ howard878   : 四產業準備起飛 10/12 12:53

噓 kevin31a2   : 又這貨 10/12 12:56

推 lc85301     : 穩 10/12 12:57

推 c928        : 穩了，歐印 10/12 13:01

→ c928        : 放空台居居，歐印四大產業，怎麼輸 10/12 13:01

推 joe2        : 他講的這四種已經有跡象在復甦了XDDDD 10/12 13:11

→ joe2        : 老謝果真明燈! 10/12 13:11

推 x58420      : 老洩 10/12 13:16

噓 geniustu    : 找謝經驗 10/12 13:19

推 bown        : 用台幣貶值救出口 厲害 10/12 13:21

→ littenVenus : https://i.imgur.com/RaR7lmD.jpg 10/12 13:29

推 tigerzz3    : 不樂觀時不買 樂觀再來買 10/12 13:29

噓 KadourZiani : 感謝老洩。有機會20000 10/12 13:29

推 shi0520     : 老謝又發功 萬七不是夢 10/12 13:30

推 xxxu        : 穩了 10/12 13:31

推 zxcv91039   : 這四個產業訂單要來了 10/12 13:32

噓 LightWorker : 所有主要產業都嚴重衰退，出口總額卻成長？ 10/12 13:33

推 sai82320    : 兩天期貨賺400點 老謝真反指標股神 10/12 13:34

→ danwhei     : 萬七萬八不是夢 10/12 13:35

推 qoo60218    : 不要再貼早洩的新聞了 10/12 13:38

噓 Ogrish      : 這位早就變成黨的傳聲筒  年代是黨媒 10/12 13:40

噓 li11223344  : 黨媒滾 10/12 13:44

推 fbixxx530   : 太晚看到了 已經清倉了 好虧 10/12 13:45

推 tanchuchan  : 老謝真神人也…. 10/12 13:45

推 riverkid20  : 工作接觸到的工具機、塑膠機、鞋機等機械業普遍都 10/12 13:46

→ riverkid20  : 希望明年Q3有起色 10/12 13:46

噓 Tatsuya72   : 穩了！穩死了 10/12 13:46

推 qaz13579    : 現在行業普遍都有觸底反彈在期待明年H1績效拉起來 10/12 13:47

→ qaz13579    : 可以先布局部分看好的了 10/12 13:47

噓 cosmite     : 完蛋了 10/12 13:49

推 ctct0513    : 他說的沒錯 只是大多數情況是落後消息 10/12 13:56

噓 ifye        : 藍買笑 準備發車 10/12 13:59

推 genest666   : 反指標 10/12 14:01

噓 baseken     : 反指標 可憐哪 10/12 14:06

→ aming75321  : 涼了 10/12 14:06

推 allfate     : 今天撿了200股綠的台鋼燦星旅玩玩 10/12 14:09

推 Lowpapa     : 穩死 10/12 14:23

推 howhow801122: 乾 10/12 14:24

推 whitebk     : 穩了 10/12 14:42

噓 garnett0113 : 嘴砲！說的好像你帶領台灣出口賺錢 10/12 14:47

→ garnett0113 : 大跌再出來信心喊話喔！ 10/12 14:47

推 Tashaa      : 丸子 我的台gg 撈洩滾開好嗎？ 10/12 14:59

推 hsshkisskiss: 謝金河又在刷存在感 可憐 10/12 15:03

→ iansuture   : 謝謝不樂觀 10/12 15:22

推 basara30    : 感謝，今天已經下車 10/12 15:22

推 huk40199    : 完蛋了 10/12 15:29

推 dreamislet  : 有些已下車，感謝 10/12 16:40

→ biojo       : 可以幫忙喊空鋼鐵嗎 10/12 18:23

→ ojh         : 前幾天才喊空 被嘎兩天又改喊多了XD 10/12 18:29

→ kmshy       : 遠東新要噴了 抓穩 10/12 19:23

噓 strlen      : 大哥被你吹死了 10/12 19:57

推 yang57      : 完了….台積積明天等著被割草。 10/12 20:34

噓 flyingdeeck : 又是老蟹搞鬼 10/12 20:45

推 topfree     : 乾他講完後中石化一路噴= = 10/16 09:11
