作者Alison5566 (艾利森)看板Stock標題[新聞] 上市櫃Q3季報「已是出乎意料的好」！謝金時間Sun Nov 26 20:09:41 2023

噓 NeihuSnape  : 塊逃阿 11/26 20:10

→ Kobe5210    : 假日股票點名>>> 11/26 20:10

推 Jerry469    : 好！ 11/26 20:13

→ Jerry469    : 甘蔗啃起來 11/26 20:13

推 fdkevin     : 訊號來了 向下噴 11/26 20:15

→ bbcer       : 啾命鴨！ 11/26 20:16

噓 godog       : 阿不就是估不準 然後開始放馬後炮 11/26 20:19

→ DAEVA       : 完了 11/26 20:26

→ teddy72     : 丸子 11/26 20:27

→ zerro7      : 被點名 GG 11/26 20:30

推 icedog122   : B嘴 11/26 20:33

推 addy7533967 : 丸 11/26 20:34

噓 s155260     : 發哥還有機會千金嗎 11/26 20:36

噓 YesNoter    : 來囉 鬼故事 11/26 20:36

→ idernest    : 黑暗來臨 11/26 20:40

→ het97306    : 只有你意外吧 11/26 20:56

推 PoloHuang   : 蔡上任後獲利變高真多 11/26 21:03

噓 littlesss   : 左金河右月涵…..怕 11/26 21:11

噓 fakelie     : 最大利空老洩看多https://i.imgur.com/kw0kUnG.jpg 11/26 21:37

→ fakelie     : https://i.imgur.com/DLQtXpY.jpg 11/26 21:37

推 lovingbase  : 半導體讓台灣起飛 11/26 21:40

→ fakelie     : https://i.imgur.com/CJb0lLE.jpg 11/26 21:49

→ fakelie     : https://i.imgur.com/obEoNph.jpg 11/26 21:50

→ fakelie     : https://i.imgur.com/cAD0g43.jpg 11/26 21:50

噓 taro0116lo  : 謝金河真的很瓜，這種內容叫ai來唸也行 11/26 21:53

推 icedog122   : 原來這八年獲利增加這麼多啊  令人驚訝... 11/26 22:03

推 joeshiu     : 很愛刷存在感，古先生2.0。 11/26 22:06

推 AN94        : https://i.imgur.com/V9OsrOo.jpg 11/26 22:40

→ alongalone  : 似乎又穩了 11/26 22:51

推 kmshy       : 丸子 訊號來了 11/26 23:06

推 turtle66    : 完了 11/27 00:10

噓 zsquarez    : 又是你 11/27 00:12

推 tinoooii    : 可以不要再說了嗎？ 11/27 08:24

噓 sonyvaio    : 丸了 11/27 09:52

噓 merihim     : 幹可以讓他閉嘴嗎 超級反指標 11/27 12:04

→ DAEVA       : 好強 神準.. 11/27 12:48

推 solomonABC  : 真冥燈 11/27 13:02

推 twistplok   : 下次要說話前可以先通知嗎，冥燈很準 11/27 14:04

推 valgia      : 恐怖 11/27 15:06
