作者mars1985 (╰|∵|╯)看板Stock標題[新聞] 中鋼研發優質磁性材料　跨入電動車、低軌時間Thu Oct 12 21:44:26 2023
→ a79111010   : 然後讓利便宜賣 10/12 21:44

推 panjanhon   : 讓利鋼沒用 10/12 21:45

→ kitune      : 燕子又變成鳥仔巴 10/12 21:45

推 fourkg      : 春燕又來了 10/12 21:46

推 roytenpura  : 又春 10/12 21:48

推 starport    : 穩了 10/12 21:48

噓 yuchifan    : 讓利春燕上層完全不會治理，垃圾公司 10/12 21:49

推 allgood123  : 好 10/12 21:49

推 joe777      : 盈餘1.54億元年減 90%； 10/12 21:49

推 andy70612   : 神鳥鳳凰 10/12 21:50

推 ethan0419   : 重磁鋼彈春燕 10/12 21:51

→ pf775       : 中國鋼鐵還沒正名喔@@ 10/12 21:51

推 nvlsvee     : 超鋼 10/12 21:52

推 tomdavis    : 超派鋼! 10/12 21:52

推 homerunball : i鋼 Max Pro 1TB 10/12 21:57

推 kitsune50   : 急了？ 10/12 21:57

→ alongalone  : 春燕飛啊飛 10/12 21:59

推 good10740   : 中鋼很準的，6月講AI就大漲AI，代表汽車現在起漲點 10/12 21:59

→ chilagow945 : 想炒直接拉高就好  可見想出貨了 10/12 22:01

推 DAEVA       : 超導?! 10/12 22:03

噓 carking49   : 公司再會賺錢，被讓利讓光光有啥用！ 10/12 22:04

推 horun       : 春ㄟ（台語） 10/12 22:07

推 jerrty      : 明天一根 10/12 22:08

推 limulus     : 然後又給吹死了… 10/12 22:11

→ limulus     : 我怎覺得對作搞不好比較賺？ 10/12 22:12

推 winston99422: 這次月餅有點難吃 10/12 22:18

→ asdzxc001   : 都換毛了 還在叫春 10/12 22:18

推 sushi11     : Ai鋼 10/12 22:31

→ sushi11     : 春燕 10/12 22:32

噓 s58565254   : 垃圾公司 10/12 22:35

→ iccg        : 我說那個春燕呢 10/12 22:38

→ kmshy       : 沒AI 可以下去了 10/12 22:49

推 walker6765  : 拿出成績單吧，不然都是廢文 10/12 22:49

→ zalasas39   : 說好的春.....燕呢? 10/12 23:12

推 dbdudsorj   : 電磁鋼捲售價高 價格漂亮 但產量小 10/12 23:58

→ Casper50    : 我就問占營收多少啦 10/13 01:11

推 PC9527      : 春來 10/13 01:15

推 tinoooii    : 變種燕 10/13 07:40

推 zzzzzzzzzzzy: 鋼底燕 10/13 08:21

推 Phineas2635 : 春夏秋冬燕 10/13 08:22

推 fmp1234     : 春鴿 10/13 08:22

推 Wilsly      : 哈欠 10/13 08:26

推 koyosky     : 燕歸來了嗎 10/13 08:56

→ cchsiao     : 春雞來了？ 10/13 09:37

推 northwater  : 沒便宜稀土做的贏嗎 10/13 10:47

→ leo3258     : 無所謂 黨要什麼給就對了 盈利不重要 10/13 11:20

→ leo3258     : 大賺錢也是會乖乖讓利 10/13 11:20

→ daimlar     : 又在騙… 10/13 12:00

推 Alphaz      : 董仔不換沒救 10/13 12:38

推 No888       : 真的強到沒朋友了~~~跟我那個每天吹牛逼的同學一樣 10/13 12:59

推 bacteria2014: 產品優，但賺不了錢? 10/13 13:49

噓 chiamin116  : 噓～～ 10/13 18:01
