作者hedgehogs (刺蝟)看板Stock標題[新聞] 台灣顯示器市場出貨量將在今年由正轉負時間Wed Jun 28 23:58:40 2023
→ kamitengo   : 雙虎：我們一起學貓叫 06/29 00:11

→ z7956234    : 樓下家裡電視跟電腦螢幕都每年就換一次 06/29 00:15

→ SRNOB       : 24跌破2000 06/29 00:21

→ baka1412    : https://i.imgur.com/NyCECMU.jpg 06/29 00:23

推 Transposon  : https://i.imgur.com/lcM2DZ1.jpg 06/29 00:29

推 zpeople0116 : 貓咪概念股 06/29 00:31

→ ACDC69      : 轉一年嗎？ 06/29 00:51

推 kingdomsss  : 狂歡結束後 該把彩晶踢了吧 正統面板雙虎：群創 友 06/29 01:03

→ kingdomsss  : 達 06/29 01:03

推 lovegi      : 存萬企比較安心啦 06/29 01:14

推 coneflwer   : 救就包子 06/29 01:26

→ kausan      : 三喵又要被棄養了 06/29 01:28

推 alphish     : 沒有署名的新聞，這樣算誰的業績? 06/29 02:22

噓 awss1971    : 南喵哥:你有比我懂??? 06/29 06:32

推 volcom726   : 買起來等奧運 06/29 06:52

推 danwhei     : 你們別忘了還有一隻喵 06/29 07:55

→ laechan     : 疫情三年已經家家有電視了 06/29 08:08

→ ornv        : 今天又要跌個咪咪貓貓了 06/29 08:26

推 fmp1234     : 各個32吋4K 144Hz起跳 06/29 08:30
