作者Player01 (Player2(請投入硬幣))看板Stock標題[新聞] 台積成交量創近1個月新高 零股買盤大爆發時間Sat Jul 22 10:17:17 2023

→ ntuooo      : 丸子 07/22 10:18

→ lock0308    : 散戶大進場 07/22 10:19

推 jenchieh5   : 600以下的台積是上天掉下來的禮物 07/22 10:22

推 simayi      : 散戶進場嘎主力，嘎到受不了追高 07/22 10:22

推 GGME        : 600以下的台積是上天掉下來的禮物 07/22 10:23

→ LoveNPeace  : 禮物特價好久 07/22 10:31

推 DHPdotD     : eps 29 我覺得600不行 07/22 10:35

推 ayumiowen   : 丸…… 07/22 10:38

→ ej03xu3     : 虫人是啥 07/22 10:38

推 springman   : 我也買4股，哈。 07/22 10:45

推 jkl852      : 韭菜 07/22 10:45

→ pippen2002  : 210萬股?2100張而以? 世嗎?  好爛 07/22 10:51

→ idernest    : 高檔出量 07/22 10:54

推 kingearth   : 丸子，去年的空頭走勢又要來了 07/22 11:01

→ kingearth   : 一路六百多賣到三百多，散戶接到斷手 07/22 11:02

推 sammy98     : 台積=Ai研發全新奈米先進技術科技=all in 07/22 11:02

推 Dia149      : 300啦 07/22 11:02

推 crystal0504 : 哇 外豬好佛 07/22 11:17

推 poisonB     : 丸子 07/22 11:19

→ bbcer       : 丸子 07/22 11:26

→ Kenhon      : 爆量下殺？ ccc 07/22 11:26

→ Kenhon      : 等撿便宜 07/22 11:27

推 Messi100    : 丸子 女韭神和散戶都進來了 07/22 11:29

→ huk40199    : 散戶又跳進來套了^^ 07/22 11:36

噓 yuenda      : 割 韭 菜 07/22 11:37

推 JudgmentLin : 存股撿鑽石 07/22 11:39

推 Wildsheep   : 大戶吃飽了 散戶來洗碗 07/22 11:43

→ julia66     : maruko 07/22 12:03

→ tctv2002    : 散戶要把台積買下來 07/22 12:05

→ pns215      : 散戶去年持續存的根本大獲全勝好嗎，除非你亂歐硬 07/22 12:05

→ qoo10067    : 下週拉高 出貨 07/22 12:40

推 sova0809    : 千人買一股就是一張了 加油加油 07/22 12:51

推 lumwhola    : 先走一步摟 07/22 12:59

推 billionaire : https://i.imgur.com/FUNpThY.gif 07/22 13:07

推 badbadook   : 彎腰撿鑽石 好屌 07/22 13:18

推 mecca       : 歷史總是一直重演 07/22 14:01

噓 Coolno9     : 又見靈骨塔 07/22 15:30

→ Lowpapa     : 完了 07/22 15:48

推 x58420      : 丸子 散戶進場 07/22 16:25

推 Number1344  : 我自己是法說前583想說接近今年高點賣一些零股減一 07/22 16:49

→ Number1344  : 點倉躲一下玩一下，法會真的有躲到就再賣掉的股數買 07/22 16:49

→ Number1344  : 回來，感覺很多人跟我一樣 07/22 16:49

推 s58565254   : 抓交替囉 07/22 16:53

推 Brioni      : 時機成熟 07/22 17:22

推 JACKALJO    : 散戶進場 準備割韭菜囉 07/22 17:47

→ ajkofqq     : 我沒買 07/22 17:55

推 nidoran     : 不良品300收 07/22 21:41
