作者kech9111 (= =)看板Stock標題[新聞] 台積電10月營收創新高 月增逾3成時間Fri Nov 10 14:42:52 2023

→ yu7038      : 上看一千 11/10 14:43

推 tigerzz3    : 請問這次一樣是一月要賣ㄇ 11/10 14:43

→ JuiFu617    : 外資很會 11/10 14:43

推 kmshy       : https://i.imgur.com/OdF99ep.jpg 11/10 14:43

推 qwe78971    : 無腦多 大學長馬上就解套了 11/10 14:44

→ JOKIC       : GG昇龍拳 11/10 14:45

推 ethan0419   : 外資怎麼又早知道 GG好朋友吼? 11/10 14:47

推 g007        : 這波有可能560-590，換另一個箱型 11/10 14:48

推 aweara      : 外資 盤感很強 11/10 14:48

推 s56565566123: 委屈了吧 11/10 14:53

→ wr          : 688冤魂何在 11/10 14:53

→ RTX3080TI   : https://i.imgur.com/oKQ9lUM.jpg 11/10 14:56

噓 strlen      : 假AI都噴了 還有酸真AI 我看是皮在癢 11/10 14:59

推 jacid       : 好了，別再說了～ 快來救救買在640的 11/10 15:01

→ biojo       : 要火山式噴出了嗎 11/10 15:03

推 southes     : 好 11/10 15:03

推 cedric0928  : 夜盤已反應，30點 11/10 15:09

推 vreak83812  : https://i.imgur.com/fp16hSx.jpg 11/10 15:10

→ vreak83812  : 只有奈米單救我 11/10 15:10

推 arenc       : 台積電給的q4營收預測早就出了，這表示剩下的2個月 11/10 15:14

→ arenc       : 不妙 11/10 15:14

噓 rb731024    : 我偏要說沒有多好，下去吧 11/10 15:15

推 adult1219   : 組裝廠的獲利從來沒有直線性不斷上升，這是紅海， 11/10 15:17

→ adult1219   : 毛利會隨著其他廠家瓜分訂單後變化，希望廣達能保 11/10 15:17

→ adult1219   : 持這個動能到明年吧，至於股價可以參考緯創開財報 11/10 15:17

→ adult1219   : 後 11/10 15:17

→ deangogi    : 營收預測低一點開出來好過預期又能炒一波 11/10 15:19

推 lolpklol0975: 預期內,利多出盡 11/10 15:25

→ springman   : 我準備566開始慢慢賣，看下禮拜有沒有機會。 11/10 15:29

推 vincent0911x: 638台積怎麼沒攤 QQ 11/10 15:32

推 ntuooo      : 丸子 11/10 15:32

推 URGE1018    : 拉基盤要再現了 11/10 15:39

推 rayisgreat  : 噴啊 11/10 15:46

推 iamaq18c    : WOW 11/10 15:51

推 vreak83812  : 我後來都買美股VTI台股只有少量買正二跟富邦金了QQ 11/10 15:54

→ hiking12    : 坐等地3季財報 11/10 15:58

推 November1992: 創史高 真的厲害 認不出之前唱衰的id 11/10 16:03

推 gino321     : 糟糕剛賣出… 11/10 16:07

推 kmshy       : 套著配的死魚股 11/10 16:22

→ kmshy       : https://i.imgur.com/9RNyP8c.jpg 11/10 16:22

→ davidhsu    : 十月有連假，營收還創高，太神啦！ 11/10 17:31

噓 Shepherd1987: 還不是靠匯率洗數字 11/10 17:34

→ Dia149      : Yoy崩欸 11/10 17:57

推 mlda888     : 365天都在wafer out, 連假又不影響營收... 11/10 18:04

推 Wei4033     : 連假台積電又不會停工 11/10 18:15

推 wcs516      : 上看2000 11/10 19:57

推 RS44        : 猜測是急單 不是市場需求回溫 11/10 20:14

推 thoms       : 是不是有人不知道晶圓從下單到出貨 大概要多久 11/10 21:46

推 iamten      : 先看1000 11/11 08:11

推 RS44        : 昨天收盤前持有的GG市值是900萬 有機會漲了 嗚嗚 11/11 08:34

→ ntuooo      : 槓桿信貸重壓gg 11/11 11:20
