作者HCYPMGO (黑白郎君)看板Stock標題[新聞] 台股將添活水…勞動基金買股 1,540億上膛時間Tue Sep 12 07:21:49 2023
推 Sweet83921  : 又要被提款了 09/12 07:22

推 pkro12345   : 注意 09/12 07:23

推 bbqsandwich : 注意 09/12 07:25

推 opcomtt     : 很好，買爆金金 09/12 07:25

推 AndyMAX     : 有ESG 所以魚翅金噴噴 09/12 07:26

推 overno      : 這麼早就開始護盤？還沒真跌欸…. 09/12 07:26

推 rwhung      : 在這邊護是要護到什麼時候 09/12 07:28

推 PA5566      : 注意 09/12 07:29

推 a2080259    : 這種都買權值股啦 09/12 07:29

推 guk         : 買1540億可以漲1540點嗎,2萬不是夢 09/12 07:30

推 Feting      : 明年初護盤有何居心，是不是看衰台股復甦 09/12 07:30

推 ppliu       : 99生技股 09/12 07:35

推 Gipmydanger : 這不是例行公事嗎？ 09/12 07:42

推 hyscout     : 勞退隨時都有錢存入 跟選舉有什麼關係？ 09/12 07:44

→ fudick      : 注意，錢掉進水裏了 09/12 07:45

→ hyscout     : *護盤 09/12 07:45

推 tayuplay    : 植物色最軟的一塊 09/12 07:45

推 mugigi      : 要開始了嗎，高檔護航 09/12 07:45

→ mugigi      : 傳說中的提款機 09/12 07:46

→ mic73528    : 總之全買AI護航 09/12 07:47

推 Gipmydanger : https://i.imgur.com/yoRlzZW.jpg 09/12 07:48

→ Gipmydanger : https://i.imgur.com/hxk59ei.jpg 09/12 07:48

→ Gipmydanger : https://i.imgur.com/gAYvnGK.jpg 09/12 07:48

推 zzzyyan     : 手套準備好了 09/12 07:49

推 howhow801122: 注意！加碼 09/12 07:50

→ CYL009      : 誰是獵物很難說 嘻嘻 09/12 07:52

推 mugigi      : 黑手的肌肉又變粗了，要開始尬了 09/12 07:55

推 ethan0419   : 每月活水(1/1) 09/12 07:56

推 piece1      : 投信：呵呵! 09/12 07:57

推 amorose77   : 12月才決標 明年才會進場買 真的是護盤520 09/12 07:57

推 henry6715   : 哦，各位抓緊囉 09/12 07:58

噓 photoless   : 淦 賠錢貨 09/12 07:59

→ photoless   : 笑屎 隨時有錢入 但就沒有隨時有人領嗎 09/12 08:01

推 tchialen    : 選前護盤 09/12 08:01

→ ej03xu3     : 台股有糖漿護盤 正2怎麼輸 09/12 08:01

推 bolovema    : 空空皮繃緊一點 09/12 08:01

推 dispptt     : 注意 09/12 08:02

推 uxy82       : 會不會跟著存ETF啊XD 09/12 08:02

→ photoless   : 退休基金最好都只有收入 沒有支出啦 09/12 08:02

推 mugigi      : 可以準備抄底了，選舉行情 09/12 08:02

噓 neo5277     : 只有一招 09/12 08:02

推 shumann1810 : 選前護盤基金  選前大進場 09/12 08:02

→ mugigi      : 退休金尬空行情 09/12 08:03

