作者Alison5566 (艾利森)看板Stock標題[新聞] 女股神：AI反通膨能力超過任何利率變化帶時間Sat Oct 14 09:13:18 2023

→ walter41    : 為啥這稱號還不拿掉 10/14 09:15

→ Feting      : 少請一半員工，人事成本就低了 10/14 09:15

推 ryan1220    : 丸子 訊號來了 10/14 09:15

推 darkangel119: 完了 10/14 09:17

推 ethan0419   : 稳了 10/14 09:17

→ wald5566    : 女韭神 10/14 09:19

噓 ck326       : 現在已經沒人理她了，神力不再沒人當跟單 10/14 09:20

噓 pttccbbs    : 9/26的新聞，而且本益比都是負的，根本不是2.5倍 10/14 09:22

推 pucca068    : 笑死～造成主要通膨的原物料～幾乎沒有AI可以發揮 10/14 09:22

→ pucca068    : 的地方～石油你要ai挖嗎？ 10/14 09:22

推 fakelie     : 完ㄌ 10/14 09:23

→ pttccbbs    : NVDA 本益比是109倍 10/14 09:23

推 pucca068    : Ai只能取代腦力服務業而已～掃公共廁所還不是要靠 10/14 09:24

→ pucca068    : 阿伯阿桑～ 10/14 09:24

→ pttccbbs    : 鉅亨可以先求證數據，再發稿 10/14 09:24

→ dahlia7357  : GG 10/14 09:25

→ dahlia7357  : 反通膨能力不是油嗎?笑死 10/14 09:25

→ pttccbbs    : 先看path 會不會倒閉，淨值有夠低，而且還在虧損 10/14 09:26

→ pttccbbs    : 飛鴿傳書，等台灣民眾看到，都2個禮拜後了 10/14 09:28

→ abdiascat   : 難怪AI全倒 10/14 09:28

推 house911    : 這想法很女股神?? 10/14 09:28

→ yiersan     : 難怪AI跌 要等這位跟老酥停損才會回去 10/14 09:29

推 saihao      : 不虧是女韮神 10/14 09:30

→ hydra7      : 丸 10/14 09:32

推 f204137     : 這個稱號還繼續用...XD 10/14 09:34

推 jerrylin    : AI提高生產力是能降低通膨沒錯啊 10/14 09:34

→ dreamnook2  : 別 10/14 09:42

→ rainf       : 完了 10/14 09:42

推 YumingHuang : 完啦～ 10/14 09:42

推 Heyer       : 你各位最好出清 女股神很猛的 10/14 10:13

推 s155260     : 女韭神 10/14 10:14

→ wind2k      : 不講伍德 我們還能當朋友 10/14 10:14

推 zxcvbnmnbvcx: AI末日 10/14 10:15

推 sussj       : 又是妳 10/14 10:16

噓 pttccbbs    : 從150，跌倒37，有多猛？ 一堆韭菜，被割的很猛 10/14 10:16

→ Kenhon      : 噴噴 cc 10/14 10:17

推 stocktonty  : 女股神開吹了 起風了 10/14 10:22

噓 strlen      : 丸 星期一出清AI股 10/14 10:25

推 giveUstars  : 降腦力價格 的確降低成本 但促經濟發展就不知道了 10/14 10:33

推 tanchuchan  : 丸了 10/14 10:37

推 prostar     : 翻譯翻成這樣不如別報導了 10/14 10:39

推 Kobe5210    : 反指標 10/14 10:41

推 herculus6502: 塊 陶 啊 10/14 10:53

→ kululualex  : 韭菜園園長發聲了，今天又要割那一區的韭菜呢？ 10/14 10:57

→ hjgx        : 圖？不大就不准自稱女X神 女超人 10/14 11:14

→ imba789     : 蒸丸 10/14 11:15

→ wuklean     : AI會種小麥? AI會採天然氣? AI會生蛋? 10/14 11:17

推 Jeff1989    : 丸子 10/14 11:24

→ OEC100      : 算沒錯，人力變貴的同時，AI創造出來的生產力在高 10/14 11:32

→ OEC100      : 速成長期 10/14 11:32

噓 la8day      : 沒有殺手級應用 10/14 11:34

噓 FiveSix911  : 丸子 10/14 11:38

噓 seanidiot   : 新發明剛問世的時候有哪個不是這樣？ 10/14 11:43

→ puyo        : 韭神 10/14 12:02

推 phoenixtwo  : 泡沫破裂後就不會通膨啦 10/14 12:04

推 Justisaac   : @pucca068 ai 降低人力需求可以間接減少石油消耗啊~ 10/14 12:14

→ Justisaac   : 當然wfk也可以XD 10/14 12:14

→ Justisaac   : 總而言之這人說話我已經直接不看XD 10/14 12:14

推 hate56      : 你給我閉上你的嘴 10/14 12:16

→ javanaruto  : 女韭神套很多喔 10/14 12:42

推 tmdl        : 買啦 就信妳這第27次好了 10/14 12:43

推 xxxu        : 不講伍德 10/14 13:01

→ blackjose   : 工業4.0的產能更新都還沒全產業應用，AI馬上就能上 10/14 13:17

→ blackjose   : ，某口靈，沒有自動AI是要用念力生產膩。 10/14 13:17

推 ajkofqq     : AI is over 10/14 13:21

推 denise7931  : 韭神的股票484也抗通膨 10/14 13:29

推 apple960164 : 妳認為現在投資AI會太晚了嗎 ？ 不會 10/14 13:54

→ apple960164 : 收到，禮拜一市價賣AI股 10/14 13:54

→ lc85301     : 完了 10/14 13:55

→ BroDians    : 所以這位「曾經是女股神」的人手上目前有多少AI概 10/14 14:09

→ BroDians    : 念股部位？ 10/14 14:09

推 Brioni      : 趴踢要結束啦 10/14 14:22

→ jullei      : 這人的功能只剩下用這頭銜發新聞吧 10/14 14:24

推 dreamwing11 : 2023年都快過完了 還在女股神... 10/14 14:25

推 zero7810    : AI要被吹死了 10/14 14:31

推 megaje      : 買愈多省愈多 10/14 15:07

→ oyaji5566   : 丸子 10/14 15:20

推 Jerry469    : 剛好上周那幾隻 10/14 16:04

→ Jerry469    : ASIC龍頭漲不動 10/14 16:04

→ Jerry469    : 真他媽的有夠準 10/14 16:04

噓 dufflin     : 啊哈哈哈哈 屎定惹 啊哈哈哈哈 10/14 17:48

推 wei9898     : 女韮神發揮了，ai要小心 10/14 18:24

→ huk40199    : 完了 10/14 18:42

推 ADshyang    : 是在供三小，貪婪到公然說瞎話 10/14 20:45

→ fallinlove15: 完了 10/14 20:58

噓 mungbeanJ   : 女股神還在？ 10/14 21:53

→ tttxxx      : 川普印錢時一堆講美股的yt 拜登當選後死一大票 10/14 21:58

→ tttxxx      : 她和那些yt差不多 10/14 21:58

推 jonaswang01 : 不可能，要校正均值了吧 10/14 22:01

推 Clayton     : 這裡一堆智障，沒人理她的時候不就是進場時機？ 10/14 22:15

推 enemyli     : 丸子 10/14 22:17

噓 curry56     : 好了啦 10/14 22:18

推 XDdong      : 過氣了吧qq 10/14 22:29

→ waylank1234 : 一戰成名之後就跟煙花一樣轉瞬即逝 10/15 00:36

→ ookimoo     : 上漲靠錢堆，你說不受什麼影響？ 10/15 09:21

推 dss1017     : 涼去 10/15 11:52

→ m10117013   : 還來啊 信她的都睡路邊了 10/16 07:54

→ asdfg5678   : 唬爛女神 10/27 07:43

→ asdfg5678   : 根本不會投資還在那邊裝模作樣 10/27 07:43
