作者joanzkow (星浪)看板Stock標題[新聞] 快訊／國安基金操盤手親曝退場原則　時間Thu Apr 13 19:40:58 2023
推 CCP4        : 肉很多 04/13 19:47

推 xephon      : 翻譯：台積電還沒賣 04/13 19:48

→ kimula01    : 放訊號讓你買反50了 04/13 19:50

推 tien22      : 手握市值112億元的股票，以投信大哥4月以來平均每 04/13 19:52

→ tien22      : 日賣超2.6億元(6個交易日累計賣超16.6億元)的量， 04/13 19:52

→ tien22      : 混在裡面要賣多久… 04/13 19:52

→ ccdg        : 準備銀彈，選前幾個月才能護盤 04/13 19:58

→ jack21023   : 你不會發現他退場的 只能等績效報告 04/13 20:00

→ DareJ       : 台g肯定跌 04/13 20:10

→ ccdg        : 就只有一套錢，每次選舉前都得撐盤。先抽錢，下半年 04/13 20:17

→ ccdg        : 有個三長兩短再進場 04/13 20:17

推 abccbaandy  : 明天直接跌停賣(？ 04/13 20:23

→ tissot      : 我跳出來啦，我又跳進去啦 04/13 20:26

→ Minihil     : 原來還沒開始賣嗎 那之前誰在賣 丸子 04/13 20:29

推 hunteryoyoyo: 怕造成恐慌幹嘛發新聞稿？ 04/13 21:02

推 One102bird  : 請問操盤手也是用手機下單賣股嗎？ 04/13 21:44

→ jerrylin    : 操盤手阮清華：出脫持股「會非常小心 04/14 01:39

→ jerrylin    : 國安基金已經展現了控盤水準  之後就邊拉邊出 04/14 01:39

→ jerrylin    : 不用那麼緊張 04/14 01:39

→ clusis      : 第三季就又要進場了 04/14 05:45

推 losage      : 獲利15%，未實現利益7x億。本金才11多？？ 04/14 07:21
