作者CavendishJr (五劑究極梅西)看板Stock標題[新聞] 碧桂園敲定首項還債方案 每帳戶先付44萬時間Sat Aug 19 13:29:14 2023
推 yoyodiy     : 這做法似曾相識  當初華隆跳票 員工退休金也是這樣 08/19 13:30

→ yoyodiy     : 和員工協議分期償還  做後還了不到一年就... 08/19 13:31

→ alphish     : 危機已過?要噴惹 08/19 13:35

→ z7956234    : The演 08/19 13:37

推 spy9527     : 通常還幾期就跑路了，跟詐騙差不多套路 08/19 13:41

推 patrol      : 嗯，三年後倒總比現在倒來的好 08/19 13:41

→ patrol      : 應該是這個概念 08/19 13:42

推 MIT5566     : 這種計畫真的有人還完？ 08/19 13:44

推 godog       : 恒大禮拜五有澄清 在美聲請不涉及破產聲請 08/19 13:45

→ zzj11       : 拖延戰術 08/19 13:45

推 atliberty   : 不是拖延戰術，只是撐不了那麼久 XD 08/19 13:47

→ hbj1941     : 44萬XD,也好啦 08/19 13:54

→ jasonkey123 : 44萬也好過0元... 08/19 14:04

推 Merman19    : 沒4啦，有黨在 08/19 14:09

推 motan       : 三年之後再三年 08/19 14:16

推 max995511   : 借債還債  把定時炸彈延秒 08/19 14:23

推 obey1110    : 能拿到1元都比0元好!哈哈 08/19 14:25

推 stocktonty  : 先用點小錢應付以拖待變 正在花時間脫產韭菜別吵 08/19 14:32

推 asubelieve  : 拖時間轉移資產而已 有錢人破財之前都會把所有的財 08/19 14:34

→ asubelieve  : 產轉出去 這樣就算有債權人也拿不到什麼東西 08/19 14:34

推 david9066011: 3年後誰知道什麼光景 說不定脫產完就跑了 08/19 14:45

推 mukuro      : 真的還了再說～ 08/19 14:55

推 hemisofia   : 這支付方案讓我有當初p2p的既視感XD 08/19 14:57

推 manlike     : 債務協商，很有誠意了 08/19 15:00

→ manlike     : 等到房價起飛，還愁沒錢？？ 08/19 15:00

推 asole       : 意思就是只還得出6% 08/19 15:05

推 hakkacandy  : 讚 08/19 15:13

推 g0t24568    : 這次的碧桂園應該是會倒 沒意外的話 08/19 15:44

推 silentence  : 看多久就會啪的一聲 沒了 08/19 15:56

推 manlike     : 習近平有同意讓他倒嗎？ 08/19 16:03

噓 f12sd2e2aa  : 這跟股版啥屁事 08/19 16:17

推 b777300     : 沒用最多撐一年，拖延時間而已，債權人不趁現在先 08/19 17:13

→ b777300     : 扣押起來，在幾個月連毛都討不回 08/19 17:13

推 b777300     : 流程大概就是先讓短時間內收入大於支出，在把好的 08/19 17:15

→ b777300     : 部位先切割出來轉移，剩下的等幾個月後宣告破產清 08/19 17:15

→ b777300     : 算 08/19 17:15

推 kevin31a2   : 總比什麼都沒有的好 08/19 17:43

→ lpoijk      : 我才不信 都卷款了 到時候也學恆大破產浪港 08/19 18:33

推 to1322      : 重點還債的錢在哪? 恆大去年也說分期還債給債權人現 08/19 18:36

→ to1322      : 在直接宣佈破產 08/19 18:36

推 cityhunter04: 騙騙韭菜的，怎麼可能還到玩…不到三年就不見了 08/19 19:33

推 doranako    : 聽說碧桂園捐款64益給國強公益基金會，有債不還拿 08/19 20:48

→ doranako    : 去捐款，嘻嘻 08/19 20:48

推 cubec       : 第一年只拿回16%本金，人民幣一年後都不知貶值多少 08/19 21:28

推 Homeparty   : 恆大預售屋700項，碧佳園3,000項，看誰慘 08/19 21:31

推 cubec       : 碧桂園大部份在三、四線城市，平均單價較低，但老實 08/19 21:34

→ cubec       : 說，對中國底層人民影響較大，可能一間房子就是三代 08/19 21:34

→ cubec       : 資產都泡湯了。 08/19 21:35

推 Homeparty   : 單價低量多沒人接，養的供應商跟員工也多，慘多了 08/19 21:36

→ jerrylin    : 摩根大通這是內線交易嗎 08/19 22:02

→ linzero     : 有可能只是在盡量拖延時間而已，後續根本無法保證 08/19 22:11

推 changmary   : 債券利率不低 08/19 22:23

推 aja1008     : 木可能！中共高素質有效率！两岸一家侵 08/20 05:49

推 bigtree03   : 感覺在拖延，黨要出手才有機會 08/20 09:30

推 allen1994   : 先有計畫，執不執行另談 08/20 10:12
