作者Alison5566 (艾利森)看板Stock標題[新聞] 美國信用卡拖欠率升 取得信貸難度提高時間Mon Nov 27 12:53:29 2023

推 EvilJustice : 真，信貸文 11/27 12:54

推 initiate73  : 99UPST 11/27 12:56

推 Roarwolf    : 推個真信貸文 11/27 12:56

推 blueseason  : 越爛越噴！噴！ 11/27 12:58

推 fourkg      : 之前就有新聞了 已反應 噴噴 11/27 13:02

推 tony15899   : 別怕 快要降息 QE3.0也不遠了 11/27 13:04

→ loopdiuretic: 原來是信貸文難怪崩 11/27 13:05

→ YLTYY       : 小錢 微不足道的違約 11/27 13:07

推 ab4daa      : 崩 11/27 13:08

推 stocktonty  : 要降息了要降息了 11/27 13:08

推 pwseki206   : 好了啦高義，別再騙會降息了啦！拜登快因為物價落 11/27 13:09

→ pwseki206   : 選了你以為他會縮？ 11/27 13:09

推 jack91315   : 99upst 11/27 13:15

推 jenchieh5   : 信貸文反轉... 11/27 13:19

→ knives      : 升息的效應要發動了嗎 11/27 13:37

推 lc85301     : 美國要崩了 11/27 13:47

推 wade00123   : 記得有個數據是 美國消費者使用現金的比例變高了 11/27 14:07

→ brain9453   : 台灣：現在可以信貸買股嗎 11/27 14:14

推 shinyi444   : 騙倫 經濟最好 11/27 14:17

→ qaz12453    : 最近真的大家都賭一波 11/27 14:25

推 sai307      : 卡奴2.0 11/27 14:30

推 woofwoof009 : pgy 成本1.3等發動 嘻嘻 11/27 15:42

→ laechan     : 美國很多人還不出錢,開著露營車四處移動 11/27 15:43

→ laechan     : https://youtu.be/SFwWy_Q00P4 11/27 15:44

→ laechan     : 沒有真的很有錢可消費https://youtu.be/3Nj9JJc7C_A 11/27 15:46

推 DALUGI      : 趕快崩 11/27 15:51

推 kkchen      : 利空出盡，美股今天又要大漲反應? 11/27 15:53

推 g0t24568    : Upst哭啊 11/27 16:48

推 jerrylin    : 美國人減少消費通膨才會降下來 11/27 17:08

推 yoshilin    : 花錢習慣了很難改 11/27 18:01

推 cityport    : 美國會欠卡債的人根本不會買股票..所以股市還會再漲 11/28 04:15

推 dosiris     : 老鮑又講話了 快跑 11/29 02:57
