作者Paul1021 (胡迪)看板Stock標題[新聞] 聯詠、瑞鼎 長期動能無虞時間Thu Jul 20 15:32:25 2023
噓 wen456789   : 敦泰可憐 07/20 15:33

推 gkkcast     : 愛河裸泳 07/20 15:33

→ tien22      : 明天保羅又要買進了XD 07/20 15:33

→ Rickyyy     : 問題是單價砍到見骨 07/20 15:33

推 Scorpio777  : 矽創表示： 07/20 15:35

噓 baka1412    : 保羅 07/20 15:37

推 clonecd     : 保羅進場記得貼單我要跟 07/20 15:41

推 YiCloud     : 不是最夯的AI，只能給5倍本益比，不能再多了！！ 07/20 15:45

推 ZakkWylde   : 下去 07/20 15:50

推 manlike     : 喊無虞 就是會怕才在喊 07/20 15:50

推 superamd    : 阿你不是停利賺爛了嗎 07/20 15:54

推 brandonhsu8 : 聽君一席話 如聽一席話 07/20 15:59

→ tamynumber1 : 短期要被出貨了嗎？ 07/20 16:12

推 kkman1210   : 哈哈哈 你真的很不死心 07/20 16:24

噓 tku9527     : 沒對帳單都是唬爛 07/20 16:37

推 Derry20732  : 沒AI都下去 07/20 16:49

推 PPPGGG      : 那就下去了= = 07/20 17:35

噓 welly7566   : 百股保羅 07/20 18:18

→ idlewolf    : 不是百股　他幾天前說看起來危險　連那100股都賣了 07/20 18:36

推 zhi5566     : 保羅買不用發文 賣的時候發文就可以了 07/20 19:39
