作者Paul1021 (胡迪)看板Stock標題[新聞] 聯詠急單挹注，動能延續到Q2時間Wed Mar 29 15:58:06 2023
推 jei01       : 急單不是來得快去的快的意思嗎？還是我誤會了 03/29 15:59

推 kevin31a2   : 反彈記得... 03/29 16:01

→ jim82124    : 三喵有望 03/29 16:01

推 Neil0205    : 急單就是別人做不出來請你幫忙做，做完就沒了？ 03/29 16:01

推 xm3u4vmp6   : 已反應 還不去去卡打掐 03/29 16:01

→ xm3u4vmp6   : 卡打掐就像 200元的聯詠 03/29 16:02

→ MIT5566     : 所以今天是？ 03/29 16:02

推 f204137     : 跟著上游面板報價回補 03/29 16:02

→ f204137     : 200漲到400 還不滿足啊 3481也才漲25% 03/29 16:03

推 KGB13       : 急單是多單嗎？？ 03/29 16:04

噓 baka1412    : 聯家軍恐怖情人 03/29 16:04

推 guardangle  : https://bluetide.pixnet.net/blog/post/4806464 03/29 16:04

→ guardangle  : 老文新看 03/29 16:05

推 benson502   : 外資急著出貨？ 03/29 16:05

推 paracase    : 那今天是殺幾點的？ 03/29 16:10

推 tttt0204    : ID正確.. 03/29 16:10

推 HungryZ     : 明天市價空到跌停 03/29 16:16

推 cetus       : 出貨很急 03/29 16:36

→ tinybunny   : 神奇寶螺又進場了? 03/29 16:44

推 kuasnetwork : 下個月就第二季了 03/29 16:48

噓 DavisVilter : 這ID又發文了，大家應該都懂是什麼意思了 03/29 16:49

噓 ljh109      : 聯詠:怕爆，背後感覺重重的 03/29 16:56

推 cleanx      : 面板都看好未來，聯詠必然好 03/29 17:24

推 leon1757tw  : 急單啦 哪次不急 03/29 17:24

推 danwhei     : 出貨文我隻 03/29 17:28

→ Zepho       : 所以下半年不行 可以空了 03/29 17:33

推 photonic    : 聯詠主力急了 急出貨 03/29 17:37

推 Sixigma     : 新聞真準，馬上一根向下 03/29 18:14

推 c928        : 要出貨了 03/29 18:19

推 Lowpapa     : 噴 03/29 18:22

噓 deepdish    : 出貨文 03/29 18:29

推 bery        : 沒發現今天開獎但都沒開獎文  就知道多慘了 03/29 19:08

→ kamitengo   : 明天我all in 03/29 19:42

推 leo855180   : 主力急著拿股換現金誒，利多新聞狂發 03/29 20:52

→ weliem      : 幹就是你害的 03/29 21:21

推 phosphoto   : 利多出盡了 03/30 07:56

→ kilik0960   : 滷肉保羅 可以放過聯詠嗎 03/30 10:00
