作者yakimochi (價值投資是你)看板Stock標題[新聞] 蘇姿丰訪台將會面幹部 和碩盤中漲停寫2年時間Mon Jul 17 11:58:59 2023
→ event1408472: 一天一根 07/17 12:00

推 coneflwer   : ai教母 07/17 12:01

推 goodman5566 : AI台股 請支援台股 07/17 12:01

推 JuiFu617    : ai教母來晚了 07/17 12:02

→ yydogyy     : 存骨變飆股 07/17 12:03

推 house911    : 原來如此 07/17 12:05

→ JuiFu617    : ai教母點石成金 07/17 12:06

推 ntupeap     : 結果景碩還在躺 07/17 12:07

推 goshnash    : 這禮拜五根招待！ 07/17 12:07

推 Yuijian     : 3189現在就是買點 07/17 12:08

推 cl3bp6      : 3033 代理商也噴到不知哪去了 07/17 12:08

推 videoproblem: 好景碩 不買ㄇ 07/17 12:09

推 sanwan      : 希望可以飆過鴻海就好 07/17 12:13

推 suntw       : https://i.imgur.com/n7l5Ept.jpg 07/17 12:13

推 dong812     : 2324跟進，水 07/17 12:17

→ tomdavis    : 蘇媽的寂靜零號開數據風暴嘎爛和碩空軍! 07/17 12:20

→ heinzblack  : 行事曆呢 07/17 12:20

推 nisi0773    : 群組只有一個人？ 已讀只有一？ 07/17 12:22

→ wateryc     : 每天po群組對話的是不甘寂寞嗎？我也來弄個假對話 07/17 12:25

→ wateryc     : 每天pi好了 07/17 12:25

→ wateryc     : po* 07/17 12:25

→ dimaria11   : 今天跟的明天被倒貨就哭死 07/17 12:29

→ AndyMAX     : 有營收還怕被倒貨 又不是0.06 07/17 12:32

推 suntw       : 是跟家人的順便紀錄股市紀錄，之前沒設群組變成家事 07/17 12:33

→ suntw       : 跟股票混在一起，最近才另開群組只貼股市訊息 07/17 12:33

→ suntw       : 有日期，有截圖你去弄看看 07/17 12:34

推 suntw       : 未開群組前就沒已讀一，早知道有人會這樣問 07/17 12:39

→ suntw       : https://i.imgur.com/pRRnXgy.jpg 07/17 12:39

推 x221x221    : 厲害了 漲停股神通通出頭 07/17 13:48

→ ggHan       : 到處貼自己家裡群組的對話記錄...？ 07/17 14:00

推 suntw       : 所以有規定不能嗎?我也會貼這裡說過的?你也要管? 07/17 14:11

推 suntw       : 貼梗圖都可以，貼相關言論截圖不能? 07/17 14:14

→ suntw       : https://i.imgur.com/398trSi.jpg 07/17 14:14

噓 duncan0319  : 這麼準是賺多少了？ 07/17 14:16

推 suntw       : 這個月才100萬 07/17 14:16

推 windblood   : 死魚躍龍門 07/17 14:27

→ tenghui     : 皮卡也大概就醬子 我自己是抓上去頂多再1-1.5根 07/17 15:28

→ tenghui     : 小英我就有點意外了 20年不鳴則已一鳴驚人 07/17 15:29

推 sllyabic    : 今天賣在79.1 乾.. 07/17 15:38

推 Noberman    : 以下是我夢到的 07/17 15:43

→ Noberman    : 景X供應商評鑑被amd 評最後一名，好像單被砍光了， 07/17 15:44

→ Noberman    : 另外兩家都在前十喔 07/17 15:44

→ tctv2002    : 聊個天就紅燈 07/17 16:49

→ sate        : 不用100,等有90就賣 07/17 18:28

推 kmshy       : 存股變飆股 AI大行情啥咪都能噴 07/17 20:38
