作者Coffeewater (淡淡的咖啡)看板Stock標題[新聞] 貨櫃運價 較去年高點跌85％時間Thu Feb 16 10:37:48 2023
推 Sharkqqq    : Hi 02/16 10:39

→ Sharkqqq    : Gg 02/16 10:40

→ blue1204    : 喔@W@ 02/16 10:41

推 blueseason  : 無情收割，只要你懂海，海就會幫你，只是幫你買豪宅 02/16 10:43

→ blueseason  : 還是送上山頭就不知道了 02/16 10:43

噓 a87569650   : 笑死 運價回原點 通膨怎麼還那麼高? 02/16 10:43

推 SilentBob   : 咕嚕咕嚕 02/16 10:43

推 fasterbook  : 股價也剩25趴，已反映 02/16 10:44

推 aegis43210  : 去年就一堆不懂的在說海運運價影響通膨呀，海運對物 02/16 10:46

→ aegis43210  : 價的影響只佔不到0.1%，漲十倍也不到1%，問題一直在 02/16 10:46

→ aegis43210  : 陸運運價 02/16 10:46

噓 blackbrid   : 月 02/16 10:47

→ aegis43210  : 當然原po也是不懂的一員 02/16 10:48

噓 Obama       : 運價跌85% 阿榮一樣穩穩賺  根本強 02/16 10:48

→ Leo4891     : 懂的人航運業沒賺錢啊 02/16 10:49

推 hhppp       : 看報關行的業務一點都不擔心.還是口袋滿滿 02/16 10:51

噓 superamd    : 如果每年都能賺160*0 .15=24 的話 也好像還不錯是吧 02/16 10:52

推 lymyuming   : 這波上漲所有類股都漲30%以上了，貨櫃是唯一沒漲的 02/16 10:52

推 pponywong   : 咕嚕咕嚕 02/16 10:53

→ kech9111    : 買創意早就賺回來了 02/16 10:54

→ ookimoo     : 當然懂阿 就是要抹臭而已 反正下半年油價回來 02/16 10:55

→ ookimoo     : 就知道誰影響通膨 02/16 10:56

推 opkl13006   : 要噴了 02/16 10:56

→ lyhorcish   : 包括好市多在內的美國零售商，本月稍晚將與海運業 02/16 10:58

→ lyhorcish   : 者進行長期合約談判，盼能省下數百萬美元運輸成本 02/16 10:58

推 krezev      : 都2023了… 02/16 11:07

推 turndown4wat: 咕嚕咕嚕 02/16 11:15

推 labview     : 咕嚕咕嚕 02/16 11:21

推 joy159357   : 現在也沒人在管航運了吧？就跟抬去割一樣，提出來 02/16 11:28

→ joy159357   : 就只是拿來揶揄用的 02/16 11:28

推 jongniler   : 股價早已反應 02/16 11:44

→ BenJMAS     : 員工年終早就領爽爽，只剩股東哭死，去當這種公司 02/16 11:46

→ BenJMAS     : 的股東到底有什麼好處呢？感覺是什麼好處也沒有。 02/16 11:46

→ FatFatQQ    : 還沒1X字頭 市場錢根本太多 02/16 11:55

推 slayptter   : 經過這波至少證明兩件事： 02/16 12:14

→ slayptter   : 1. 所謂的拜登制裁只是口號 02/16 12:14

→ slayptter   : 2.通膨與運價沒有太大關係 02/16 12:14

→ slayptter   : 至少下次新病毒時就有經驗了 02/16 12:14

推 EddieWuRJJ  : 因疫情而起 因疫情而落 本是當然 02/16 12:40

推 k798976869  : 不聯合壟斷漲價了喔 02/16 12:45

推 dalensona   : 之前一堆鬼扯通膨跟運價有關XD 02/16 12:58

→ Freckle319  : 咕嚕咕嚕 02/16 13:06

→ ojh         : 股板就一堆韭菜整天胡扯啊 高手都被打成航酸 02/16 13:13

推 guowei616   : 航酸幾乎都是當過水手賺飽後退下來的 現在的水手是 02/16 13:19

→ guowei616   : 一直在船上不知如何跳船的 02/16 13:19

→ energy100203: 運價再砍半 通膨依然不動 02/16 13:44

推 tv50046     : 當初說運價造成通膨根本是個笑話，現在運價打了對 02/16 16:14

→ tv50046     : 折在對折，看看現在的物價還不是漲翻天，哈哈哈 02/16 16:14

→ tv50046     : 八方又漲了，雞蛋奔向+20了，讚讚讚 02/16 16:15

推 doranako    : 股價沒跌85趴 02/16 16:51

→ guilty13    : 美國阿爸講的東西只有信不信，沒有對不對～ 02/16 16:56

→ AllenKao    : 當股東當然好處多多,只是看你是忠實股東,還是投機客 02/16 17:27

→ hectorbibby : 中環：你們不要再說了（泣 02/16 18:41
