作者mayingnine (個性決定能否投資賺大錢)看板Stock標題[標的] 廣達期 DKF09 AI大趨勢多時間Sun Aug 27 15:48:26 2023
→ nigatsuki   : 你的單咧 08/27 15:49

推 JOKIC       : 代工25… 08/27 15:50

→ BlueBlueLuu : 輝達毛利高代表什麼你知道嗎... 08/27 15:51

→ davidhsu    : 供應鏈終究要回到競爭… 08/27 15:55

推 tomdavis    : 進場250的意思是周五買在糕點被套牢了嗎? 08/27 15:56

推 s56565566123: 癌大都開示了 08/27 16:01

推 Authorized  : 合理價就是180 08/27 16:05

→ lolpklol0975: 160 08/27 16:06

→ tomnj       : NVDA毛利高代表什麼？請解釋 08/27 16:10

→ brain9453   : 套住了 08/27 16:13

→ Waitaha     : 人權圖呢 08/27 16:13

推 HungryZ     : 代工費是台灣廠自己互相殺的 跟左岸沒半點關係 08/27 16:14

推 tanchuchan  : 禮拜五美股漲就冒出一堆套娃壯膽 08/27 16:27

推 j09201992   : 廣達的獲利是清庫存...不是ai 08/27 16:27

→ YU1225      : 喔是喔..吹起來 08/27 16:31

→ ferb        : 這分析不行哦 08/27 16:36

→ KID0924     : 我懷疑你在反串 08/27 16:42

→ tsukuyomii  : 沒技術的代工廠 到時候看誰價格低就給誰做 看好AI幹 08/27 16:43

→ tsukuyomii  : 嘛不買NVDA搞不懂 08/27 16:43

推 wald5566    : 航運2.0 咕嚕咕嚕 08/27 16:57

推 nobit       : 漲多少了才要追 08/27 16:59

推 blueseason  : 好喔，等你歐硬財富自由讓人羨慕一下 08/27 17:55

→ baka1412    : https://i.imgur.com/TeSdWYr.jpg 08/27 18:00

噓 a11211120   : 單呢？ 08/27 18:08

推 ppliu       : 無腦多，僅認同其中二字 08/27 18:10

推 CarlCrypto  : 解答：暉達毛利高，代表其他中下遊廠商沒啥獲利，高 08/27 18:31

→ CarlCrypto  : 毛利都在暉達身上，除非暉達吃素，也是有可能讓利 08/27 18:31

噓 NEWinx      : 沒單？ 08/27 19:08

噓 fastsheep   : 你都知道輝達毛利越來越高了 08/27 19:47

→ acolam      : 系統廠廣達會做緯創會做 難道最殺的鴻海不會做？ 08/27 20:37

推 xam         : 劉董目標是毛利率10%,毛利太低可能真的不接太多單 08/27 23:59

噓 issac10383  : 相信大部分的人你就賺不到錢 08/28 06:24
