作者cherry14 (小桃子)看板Stock標題[請益] 請問這篇教的00679B計算法是對的嗎？時間Fri Dec 15 14:19:48 2023
→ hensel      : 兩周95%%%是滿多的 12/15 14:23

推 powerxk     : 沒看影片 但的確是會有匯損的風險 不過我是覺得投 12/15 14:29

→ powerxk     : 資不用想那麼多 不然就是換美金去買 然後忘記換的 12/15 14:29

→ powerxk     : 匯率是多少 12/15 14:29

推 a2007535    : 匯損最慘抓10%啊 怎麼想都不虧 難不成你覺得台幣能 12/15 14:35

→ a2007535    : 升到27以下？ 12/15 14:35

推 wordfor5    : 這隻影片留言超好笑 12/15 14:40

推 oibmk       : 這影片小編聲音莫名吸引我 12/15 14:42

推 cixinc      : 阮蕙慈不是投顧嗎？現在也在教etf 不怕沒客人？ 12/15 14:44

推 Dwayneca    : 現在ETF是顯學 一定要跟著蹭一下的呀 12/15 14:56

推 Fanstra     : 主要是ETF會影響到個股吧，被納入或釋出一定會有影 12/15 15:03

→ Fanstra     : 響的啊 12/15 15:03

推 xiyonu      : 這篇好難喔看不太懂＝ ＝ 12/15 15:09

→ cherry14    : 都講那麼簡單還看不懂的話，那買0050就好 12/15 15:16

推 lolxdwww    : 哲哲etf的競爭對手出現了 12/15 15:31

→ holmes006   : 懶得想這麼多，我是買來賺利差不是賺配息的 12/15 15:39

推 dogo349     : 折折根本不會教 哈 12/15 15:40

推 super88168  : 有點料  不難懂 12/15 15:59

噓 a069275235  : https://i.imgur.com/b02KDud.jpg 還缺一 12/15 16:10

→ cherry14    : 跟阮姨就要被說工讀生喔 0.0 12/15 17:31

噓 lcling219   : 上面這底圖484投顧的底圖嗎笑死 12/15 17:52

推 heiaim      : 工讀生中路會戰囉 12/15 17:54

推 UX6UFUW     : 這瓜真好吃 雙方各派幾位人馬 12/15 18:01

推 NovaShin    : 以後會不會沒人買股票 大家都買erf就好 12/15 18:05

→ NovaShin    : ETF 12/15 18:05

推 wordfor5    : https://imgur.com/a/PIGgjwA 12/15 18:06

→ wordfor5    : 笑死 嘉偉粉 12/15 18:06
