作者asiguo (PositiveWeiwei)看板Stock標題[請益] 韓國人發超導體論文是為了幫韓國炒手們炒時間Mon Jul 31 18:26:55 2023

推 pkro12345   : netflix到時又能拍片了 07/31 18:29

噓 photoless   : 那台灣人唬爛的AI呢？ 07/31 18:29

推 tomdavis    : 財閥家的小兒子(? new data(? 07/31 18:32

→ apolloapollo: 鐵線蟲入侵一樣 又可以拍電影了 07/31 18:33

推 jinx5566    : 前年的紅茶店元宇宙不也異曲同工？ 07/31 18:35

推 f051372     : 很難炒吧 因為又不是什麼確定的技術 有時候樣品可以 07/31 18:41

→ f051372     : 但是量產不行 07/31 18:41

推 wateryc     : 我們不也整天發利多炒股...這有啥好意外的 07/31 18:47

→ hbj1941     : 現在都沒有人出來公開複製成功，是要炒什麼 07/31 18:51

推 starfirerex : Ai算是炒信仰嗎 應該都差不多吧 07/31 18:52

推 CZOM        : 量子電腦需要用到超導體嗎 07/31 18:53

→ photoless   : 股價漲五倍 但貨都還沒出一台 07/31 18:56

→ KITAN       : 綠畜綠能概念股呢 07/31 19:01

推 nk10803     : XD掰 07/31 19:03

噓 fman        : 說炒是太誇張，先前聽到的說法是lab要沒錢了，趕緊 07/31 19:04

→ fman        : 把未成熟的東西丟出來看能不能再撈點錢繼續研究 07/31 19:04

→ b9513227    : 好了拉 半成品AI就不是炒喔 笑死 07/31 19:08

推 jceefailurer: 韓國羨慕台灣有AI炒，捏一個想割韭菜 07/31 19:10

→ JoeyChen    : 韓國人是不是特別鍾意先端科技股 07/31 19:11

推 sid3        : 韓國新聞已經在討論諾貝爾獎了 07/31 19:16

→ Ceferino    : 可惜這種東西不是門關起來找幾個自己人說是就是的 07/31 19:25

→ castlewind  : 韓國人很愛超日趕美 遠勝台灣（笑） 07/31 19:30

推 moike22     : 買個十股玩一下就好== 歐印就不必了 07/31 19:55

→ payneblue   : 韓國人 不意外 07/31 20:06

推 jei01       : 蘇媽的話言猶在耳 07/31 20:06

→ jei01       : 等三星真的能贏GG時我才相信韓媒 07/31 20:08

→ jonaswang01 : 棒子不要意外 07/31 20:10

推 IPHONE10    : 韓國人欸 會隨便公開配方和方法嗎 喜歡小動作和造 07/31 20:45

→ IPHONE10    : 假專門科的 07/31 20:45

推 allen1988   : 倫飛也能炒啊XD 07/31 20:53

→ jones2011   : #1anTS9xt (Gossiping) 07/31 21:44

→ jones2011   : 就算弄成功也是先量產論文才是最重要的=.= 07/31 21:45

→ kairiyu     : 忘了我們也有高端啊嗎 XDDDDD 07/31 21:45

→ kairiyu     : 台灣領先世界 07/31 21:46

→ jones2011   : 就算有實驗室弄成功也是低調吧，免得被上級單位直 07/31 21:57

→ jones2011   : 接要走生成產物跟實驗數據 07/31 21:57

推 Callus      : 就說材料學LV4的十項材料最多出現一項， 07/31 23:03

→ Callus      : 在抖音上發表做法，就是希望找免費的國中生打工。 07/31 23:04

→ Callus      : 還有量子電腦需要信息學LV5，現在信息學LV3所有物質 07/31 23:05

→ Callus      : 數據及合成物物理性質都沒有，邏輯自洽的收集都沒有 07/31 23:05

推 ccc0950467  : 高端？ 07/31 23:35

噓 facebookig  : 文章排版亂七八糟 08/01 04:37

→ suzer       : ionQ 的技術不是超導耶，你確定？ 08/01 09:29

→ asiguo      : 常溫超導有利量子運算 08/01 15:12
